업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,교촌치킨 묵동점,2.0,16,9,서울 중랑구 동일로 920 1층,02-948-1992,매일 12:00 ~ 24:00,https://place.map.kakao.com/18618359
치킨,후라이드참잘하는집 태릉점,4.0,8,6,서울 중랑구 공릉로12가길 14,02-974-8535,,https://place.map.kakao.com/1231365716
치킨,누구나홀딱반한닭 묵동자이점,2.6,5,12,"서울 중랑구 동일로 932 자이프라자 116,117호",02-949-1116,영업시간 월~금 14:30 ~ 02:00,https://place.map.kakao.com/2140450366
치킨,푸라닭치킨 묵동점,4.0,3,4,서울 중랑구 숙선옹주로 6-9,02-971-9206,매일 12:00 ~ 24:00,https://place.map.kakao.com/183669289
치킨,60계 서울묵동점,4.5,2,3,서울 중랑구 숙선옹주로 11,02-949-6082,,https://place.map.kakao.com/1915738051
치킨,멕시카나치킨 묵동점,5.0,1,2,서울 중랑구 중랑역로 279-1,02-971-6517,,https://place.map.kakao.com/1457692790
치킨,참존숯불바베큐치킨,5.0,1,0,서울 중랑구 공릉로 55,02-948-3180,,https://place.map.kakao.com/853791149
치킨,치킨랏대 먹골본점,5.0,3,3,서울 중랑구 공릉로2길 17,02-973-8482,,https://place.map.kakao.com/16932091
치킨,멕시칸치킨 묵동점,0.0,0,0,서울 중랑구 공릉로2길 7,02-949-7600,,https://place.map.kakao.com/16588946
치킨,BBQ 묵동먹골점,0.0,0,0,서울 중랑구 숙선옹주로 29-1,02-973-9282,,https://place.map.kakao.com/1848747002
치킨,두레통닭,5.0,2,0,서울 중랑구 공릉로12가길 6,02-949-0822,,https://place.map.kakao.com/2088118106
치킨,오늘통닭 묵동중화점,5.0,1,1,서울 중랑구 공릉로2나길 45 1층,02-976-7942,,https://place.map.kakao.com/804208411
치킨,봉이치킨 묵동점,0.0,0,2,서울 중랑구 중랑역로 258,02-6084-5467,,https://place.map.kakao.com/865336443
치킨,잉치킨 먹골역점,5.0,1,0,서울 중랑구 공릉로2길 34 1층,02-977-7792,,https://place.map.kakao.com/1326707356
치킨,돈치킨 화랑대점,0.0,0,0,서울 중랑구 공릉로12가길 46-9,02-972-9284,,https://place.map.kakao.com/1990110307
치킨,치킨클럽,0.0,0,0,서울 중랑구 공릉로12가길 1,02-972-1789,,https://place.map.kakao.com/19271979
치킨,새맛치킨 묵동점,0.0,0,0,서울 중랑구 공릉로12가길 33,02-6013-6898,,https://place.map.kakao.com/16447165
치킨,픽업,0.0,0,0,서울 중랑구 숙선옹주로 6-9,02-949-1006,,https://place.map.kakao.com/494399215
치킨,BHC치킨 묵동먹골점,2.5,11,2,서울 중랑구 동일로169길 17 102호,02-971-8292,매일 12:00 ~ 24:00,https://place.map.kakao.com/27457181
치킨,한국통닭 먹골역점,0.0,0,3,서울 중랑구 동일로 911,,,https://place.map.kakao.com/503386744
치킨,둘둘치킨 먹골역점,5.0,1,0,서울 중랑구 동일로163길 16,02-546-5401,,https://place.map.kakao.com/7852605
치킨,또봉이통닭 서울먹골역점,3.7,3,1,서울 중랑구 동일로163길 10,02-977-6967,,https://place.map.kakao.com/27404730
치킨,국민35통닭,0.0,0,0,서울 중랑구 중랑역로 228,02-6082-3592,,https://place.map.kakao.com/2144046586
치킨,네네치킨 묵2동점,1.0,2,3,서울 중랑구 동일로163길 36 1층,02-975-4527,매일 12:00 ~ 01:00,https://place.map.kakao.com/16444315
치킨,꼬꼬 바베큐치킨&호프,0.0,0,0,서울 중랑구 동일로163길 22,02-949-0858,,https://place.map.kakao.com/16415017
치킨,먹골호프집,0.0,0,0,서울 중랑구 동일로163길 21,02-977-9291,,https://place.map.kakao.com/1103316126
치킨,치킨플러스 먹골점,0.0,0,0,서울 중랑구 동일로163길 50 1층,02-979-0505,,https://place.map.kakao.com/737832370
치킨,치킨테라스,0.0,0,0,서울 중랑구 동일로169길 32,02-971-7276,,https://place.map.kakao.com/27519738
치킨,또래오래 중랑묵동점,5.0,1,2,서울 중랑구 동일로151길 16,02-971-9292,매일 12:00 ~ 24:00,https://place.map.kakao.com/16646287
치킨,페리카나 묵동점,5.0,4,0,서울 중랑구 동일로149길 15,02-973-4977,매일 12:00 ~ 01:00,https://place.map.kakao.com/8637385
치킨,BBQ 묵동행복점,3.7,3,3,서울 중랑구 중랑역로 143-1,02-977-9285,매일 12:30 ~ 01:00,https://place.map.kakao.com/26778810
치킨,옛날통닭,0.0,0,0,서울 중랑구 동일로149길 14,02-971-2892,,https://place.map.kakao.com/376202091
치킨,오븐마루 태릉역점,3.8,4,5,서울 노원구 화랑로 463,02-948-9295,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/25490717
치킨,바뱅이 공릉점,5.0,1,2,서울 노원구 화랑로 415 1층,02-971-4920,영업시간 월~금 17:00 ~ 03:00,https://place.map.kakao.com/16442656
치킨,BHC치킨 태릉입구점,1.9,13,9,서울 노원구 공릉로 109 1층,02-949-9222,영업시간 화~토 14:00 ~ 23:00,https://place.map.kakao.com/26580341
치킨,오성통닭,0.0,0,0,서울 노원구 동일로 986,02-979-3016,,https://place.map.kakao.com/1229568183
치킨,수준이다른치킨,5.0,2,0,서울 노원구 동일로 986 노원프레미어스엠코 102동 1층 130B호,02-979-3016,,https://place.map.kakao.com/411498769
치킨,멕시카나치킨 백두산사우나점,0.0,0,0,서울 중랑구 동일로143길 19 제일프라자,,,https://place.map.kakao.com/1820973105
치킨,"굽네치킨 공릉1,3동점",0.0,0,5,서울 노원구 동일로173가길 69,02-978-2070,매일 12:00 ~ 24:00,https://place.map.kakao.com/8220672
치킨,교촌치킨 공릉1호점,1.4,18,3,서울 노원구 공릉로35길 2,02-974-3999,매일 12:00 ~ 24:00,https://place.map.kakao.com/1133851831
치킨,처갓집양념치킨 공릉점,5.0,6,1,서울 노원구 노원로1길 100,02-948-7724,매일 13:00 ~ 01:00,https://place.map.kakao.com/26783547
치킨,BBQ 석계점,1.0,5,1,서울 성북구 화랑로48길 16 두산A상가 126호,02-965-4545,매일 12:00 ~ 24:00,https://place.map.kakao.com/18898124
치킨,옛날통닭,0.0,0,0,서울 중랑구 동일로139다길 40,02-434-0337,,https://place.map.kakao.com/930117982
치킨,오븐마루 중화역점,1.0,1,1,서울 중랑구 동일로139길 11,02-493-0092,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/22300341
치킨,순수치킨 중화점,4.0,4,3,서울 중랑구 봉화산로21길 14-7,02-438-3392,,https://place.map.kakao.com/953528085
치킨,옛날장터치킨,0.0,0,0,서울 중랑구 봉화산로3길 78,,,https://place.map.kakao.com/20555761
치킨,치킨마루 화랑대점,3.7,3,1,서울 노원구 노원로1길 67,02-972-2111,매일 13:30 ~ 01:00,https://place.map.kakao.com/25969677
치킨,또봉이통닭 서울중랑구중화역점,0.0,0,0,서울 중랑구 중랑역로 115,02-432-5589,,https://place.map.kakao.com/1729120348
치킨,둘둘치킨 중화점,0.0,0,0,서울 중랑구 중랑역로 123-1,02-437-0066,,https://place.map.kakao.com/21329574
치킨,멕시카나치킨 석계점,5.0,1,2,서울 성북구 화랑로48길 16 두산A상가 지하1층 1315호,02-967-0031,,https://place.map.kakao.com/1163694977
치킨,BHC치킨 중화점,1.0,2,5,서울 중랑구 봉화산로 94 오선빌딩 1층,02-439-9599,매일 12:00 ~ 24:00,https://place.map.kakao.com/26628390
치킨,BBQ 봉화산역점,3.0,4,3,서울 중랑구 신내로 225 1층 112호,02-3421-9892,매일 12:00 ~ 01:00,https://place.map.kakao.com/41050380
치킨,카우보이치킨 공릉점,0.0,0,0,서울 노원구 공릉로34길 34 1층,02-3296-1833,,https://place.map.kakao.com/1603117922
치킨,새벽닭 제일점,0.0,0,0,서울 중랑구 봉화산로3길 78,02-949-8366,,https://place.map.kakao.com/22482862
치킨,둘둘치킨 공릉점,1.0,1,1,서울 노원구 공릉로38길 19,02-978-8141,,https://place.map.kakao.com/16051445
치킨,치킨에꼬치다,3.7,3,8,서울 노원구 석계로 12 1층,0507-1420-0241,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/1036609254
치킨,썬더치킨 중화역점,5.0,3,0,서울 중랑구 봉화산로 38,02-436-5079,,https://place.map.kakao.com/515194870
치킨,노랑통닭 석계역점,3.0,8,8,서울 노원구 석계로 12-1,02-943-7373,영업시간 매일 17:00 ~ 02:00,https://place.map.kakao.com/27430275
치킨,조경문치킨,0.0,0,1,서울 중랑구 동일로139길 63,,,https://place.map.kakao.com/1894560025
치킨,깜닭이야치킨 공릉본점,5.0,3,1,서울 노원구 공릉로34길 19 1층,02-978-2367,,https://place.map.kakao.com/1324770763
치킨,콩닭콩닭,0.0,0,0,서울 중랑구 동일로143길 61,,,https://place.map.kakao.com/860648176
치킨,한국통닭 석계점,5.0,1,3,서울 노원구 석계로 10 1층,,,https://place.map.kakao.com/1408208292
치킨,명가옛날통닭,0.0,0,0,서울 노원구 공릉로 153,02-975-9800,,https://place.map.kakao.com/869887538
치킨,마미스키친,5.0,2,2,"서울 노원구 동일로182길 36 1층 101,102호",02-910-9292,,https://place.map.kakao.com/546222713
치킨,치킨과사람들,5.0,1,2,서울 중랑구 신내로 225 디아뜨갤러리 110호,02-3423-3392,,https://place.map.kakao.com/10024074
치킨,대대옛날통닭 중화역본점,0.0,0,0,서울 중랑구 봉화산로 75,02-433-6380,,https://place.map.kakao.com/1310734885
치킨,노랑통닭 봉화산역점,4.0,4,4,서울 중랑구 신내로 211 금강리빙스텔 134호,02-3421-7275,영업시간 월~금 15:00 ~ 24:00,https://place.map.kakao.com/26622341
치킨,고고통닭 공릉점,5.0,1,1,서울 노원구 공릉로37길 23 1층,02-972-9091,,https://place.map.kakao.com/1630912081
치킨,수제간장치킨깨비닭,5.0,3,7,서울 노원구 동일로180길 28 나-15호,02-977-1050,"월,화,목,금,토,일 11:00 ~ 20:30",https://place.map.kakao.com/2035768884
치킨,멕시카나치킨 공릉점,3.7,6,11,서울 노원구 동일로 1054 1층,02-975-7292,매일 12:00 ~ 24:00,https://place.map.kakao.com/1025541485
치킨,와이코바베큐 중화점,0.0,0,0,서울 중랑구 봉화산로 23 1층,,,https://place.map.kakao.com/523828574
치킨,치본 공릉점,4.0,1,0,서울 노원구 공릉로 143 1층,02-977-5725,,https://place.map.kakao.com/864513156
치킨,춤추는닭강정,0.0,0,0,서울 중랑구 봉화산로 55,02-433-3700,,https://place.map.kakao.com/20555723
치킨,넘버원치킨,0.0,0,0,서울 노원구 동일로178길 19-38,02-3409-6165,,https://place.map.kakao.com/1796899696
치킨,치킨마트,0.0,0,0,서울 노원구 공릉로38길 21,,,https://place.map.kakao.com/1328734054
치킨,깜꼬치킨호프 신내점,0.0,0,0,서울 중랑구 신내로 225,02-3421-6777,,https://place.map.kakao.com/27302915
치킨,오오락치킨 중화역점,0.0,0,0,서울 중랑구 중랑역로 93,02-493-5549,,https://place.map.kakao.com/27167881
치킨,처갓집양념치킨 월계미성점,3.5,2,1,서울 노원구 마들로 59 미성상가 103호,02-975-8892,,https://place.map.kakao.com/16557105
치킨,위드치킨 석계점,0.0,0,0,서울 노원구 화랑로45길 42-7,,,https://place.map.kakao.com/23062896
치킨,푸라닭치킨 월계점,4.2,5,6,서울 노원구 마들로 59 월계미성아파트 가동 105호,02-977-9206,영업시간 매일 15:00 ~ 24:00,https://place.map.kakao.com/178488941
치킨,페리카나 공릉철길공원점,3.5,2,1,서울 노원구 동일로184길 69 1층,02-978-9222,,https://place.map.kakao.com/1531735296
치킨,교촌치킨 석계역점,1.8,12,5,서울 노원구 석계로 31,02-909-9229,매일 12:00 ~ 24:00,https://place.map.kakao.com/16051747
치킨,호빈,0.0,0,0,서울 노원구 동일로 1039,,,https://place.map.kakao.com/616090132
치킨,또래오래 노원공릉점,5.0,1,0,서울 노원구 공릉로41길 12,02-975-9339,영업시간 매일 14:00 ~ 24:00,https://place.map.kakao.com/7850223
치킨,통마늘전기동닭,0.0,0,0,서울 노원구 공릉로 153 1층 104호,,,https://place.map.kakao.com/43979704
치킨,전설의치킨 공릉점,5.0,1,0,서울 노원구 공릉로 166,02-949-7005,,https://place.map.kakao.com/1470914996
치킨,교촌치킨 중화점,1.0,3,2,서울 중랑구 동일로129길 16,02-433-1992,,https://place.map.kakao.com/1402233966
치킨,오늘통닭1977 공릉점,0.0,0,0,서울 노원구 동일로184길 66,070-4078-1858,영업시간 월~토 16:00 ~ 23:30,https://place.map.kakao.com/7022125
치킨,썬더치킨 석계역점,4.0,1,2,서울 노원구 석계로3길 21,02-912-8042,,https://place.map.kakao.com/193791215
치킨,치바치바 공릉1동점,0.0,0,0,서울 노원구 동일로184길 41,02-974-7989,,https://place.map.kakao.com/1271518926
치킨,코리엔탈깻잎두마리치킨 석계점,2.0,2,1,서울 성북구 한천로80길 3-2,02-3295-4763,,https://place.map.kakao.com/1208568238
치킨,옛날통닭 석계점,4.0,2,2,서울 노원구 석계로3길 36 1층,02-3292-1500,,https://place.map.kakao.com/1596819279
치킨,순수치킨 상봉점,5.0,1,2,서울 중랑구 상봉중앙로 51 1층,02-493-8888,영업시간 매일 14:00 ~ 01:00,https://place.map.kakao.com/377225788
치킨,BBQ 공릉역점,5.0,8,0,서울 노원구 동일로173가길 140,02-948-9282,,https://place.map.kakao.com/550910445
치킨,우리집양념치킨,0.0,0,0,서울 성북구 한천로78길 7,,,https://place.map.kakao.com/9892895
치킨,BHC치킨 석관점,3.0,5,0,서울 성북구 한천로 583,02-943-5575,매일 12:00 ~ 24:00,https://place.map.kakao.com/138519958
치킨,울트라치킹스,0.0,0,0,서울 중랑구 봉화산로20길 37,02-494-1252,,https://place.map.kakao.com/16417183
치킨,BBQ 석관점,0.0,0,0,서울 성북구 한천로 581,02-968-9282,,https://place.map.kakao.com/823784023
치킨,모두치킨,5.0,1,113,서울 노원구 동일로191길 7 1층,02-972-3800,영업시간 매일 15:00 ~ 03:00,https://place.map.kakao.com/1127490386
치킨,치킨앤살사 석관점,0.0,0,0,서울 성북구 한천로 578 1층,,,https://place.map.kakao.com/1449164421
치킨,참치킨,0.0,0,0,서울 중랑구 동일로130길 31,02-1600-9281,,https://place.map.kakao.com/23406522
치킨,푸라닭치킨 공릉점,3.7,3,9,서울 노원구 공릉로34길 118 삼익2차아파트 상가 106호,02-972-9206,영업시간 월~금 14:30 ~ 23:00,https://place.map.kakao.com/832467869
치킨,치킨주막,0.0,0,0,서울 동대문구 신이문로 41-1,02-962-9301,,https://place.map.kakao.com/20024151
