score,review
2,"맛은 근방 교촌 중 탑이나, 2층 홀 남자알바 뭥미? 별점 깎은거 알바때문입니다 서빙하는거랑 주문받는거 왜그리 불친절한가요? 손님이 직원 눈치봐야되는건지 모르겠는데 직원 교육 좀 잘 시켜주세요 즐겨갔는데 정내미가 뚝 떨어지네요"
5,
1,말복이라 시간 오래걸리는건 알지만 2시간 반이 지났는데 안오고 출발했다고 하면서 거리는 10분도 안되는 거리를 10분이 지나도 안와서 전화하니까 배달직원한테 전화했다고 하며 다시 한번 더 전화를하니까 도착했다네요?? 거짓말 하는건가요?ㅋㅋ 아무리 기다려도 치킨은 안왔습니다. 대응 참 뭐같네요 ^^* 절대 안먹을겁니다 여.기.는
1,직원 불친절하고 마라떡볶이는 정말 먹지말기를 9000원이나하는데 자기들이 먹어보지도 않고 메뉴개발을하는지  이런걸 팔고있는게 신기하다
1,서빙직원 너무 불친절함
1,치킨이 말라있는 경우가 많고 간장치킨은 간장소스를 반만쓴느낌. 소스맛이 안나고 순살이라 더 느끼했음. 생맥도 물탄맛임
1,배민 통해서 7시에 시켰더니 9시 온다고 해서 취소한다고 했더니 이런 날엔 기본 1시간 반 걸린다는 얘기만 하고 취소는 안 해주고 빨리 보내준다고만 하네욬ㅋㅋㅋ 1시간 반이든 두시간이든 싫다고 취소해달라고 했더니 자기들 바쁘다고 배민에 전화할 시간없다고 취소 못 해준다고 하질 않나 배민하고 연결이 오래되어 취소를 바로 못한다고 하지 않나 리스트가 워낙 많아...
5,맛있구 친절해요!!! 후라이드 맛있어요 
1,여태 먹은 치킨 중 최악!! 치킨 겁나 짜고 치킨에서 액젓?같은 비릿한 냄새 나고 건조하고 딱딱함. 다시는 안 먹음
1,매장 직원들 전부 다 불친절 주문할때도 물어볼때도 추가 주문할때도 대답을 안함(말 못하시는 분인가 오해할 정도) 서비스는 친절? 전혀. 기분 좋게 가서 기분만 잡침
1,먹는거 같고 이러시면 벌받아요 본인들 가족한테 먹인다고 생각해보세요 부탁드리겠습니다. 기본은 지켜주세요~ 제발이요  ㅠㅠ
1,먹으면서 기분나쁘긴 처음이네요 ㅠ  저번주에 윙.봉 시켜서 나무씹는거 같아서 혹시나해서 신화 한마리 주문했는데 메뉴가 아니라 조리법 문제네요 통닭이라기보단  전날 팔다남은 걸 다시튀겨서 수분은 없고 억세다고  밖에는... 교촌 먹을거면 다른 매장에서 주문하세요
1,불친절의 끝을 달림. 주문받을 때부터 귀찮은 티 팍팍 내더니 한숨쉬고 급기야 다른 직원한테 주문 받으라고 시키는데 됐다고 했다가 안 된다고 했다가 똑같은 말을 5번은 한 듯. 음식 맛은 고사하고 먹고싶은 마음조차 사라졌습니다. 치킨집 많은데 굳이 여기서 먹을 이유가 전혀 없음.
2,교촌허니콤보를시켰는데 후라이든줄...ㅠ  통화후 소스 따로가져다주셨습니다..
3,
5,정말맛있네요 ^^ 
5,
1,콧수염난 알바 4가지가ㅋㅋ
5,
5,싸고 맛있음. 가까워서 늘 포장주문하는데 배달료도 안들고 빨리 받을수 있어서 좋음. 후라이드 진짜 잘함
5,포장 방문시 후라이드 한마리가 만원..... 앞으로 이집 단골이 되겠습니다..
5,맛있어요 저희가족은 후라이드만 먹는데 살짝 매콤하고ㅎㅎ 저는 퍽퍽살 좋아하는데 부드라워서 동네치킨 집으로 좋아하는 곳이어요
5,맛있고 청결하네요
1,배민 이벤트로 7시에 주문했는데 밤 10시까지 안와서 결국 취소했네요. 2시간 넘게 기다리다가 아까 40분전에 전화했을때 바로 보내드린다고 말만 안하셨어도 그때 취소하고 저녁 먹었을텐데요. 이렇게 하실거면 이벤트를 하지마세요.
1,화장실 갔다오니깐 다른사람들이 내자리를!???.. 난 결제도 안했는데... 직원교육이 필요하겠네요
5,역시 여기도 맛있당
3,골뱅이소면은 매웠고 치킨은 시간이 지나니 금방 딱딱해졌어요. 못먹을 정돈 아니었지만
1,7월 30일에 방문했구요 전엔 불친절했다는 느낌이 없었던것 같은데 바뀌신건지 좀 당황스러워서 올려요 치킨 받았을땐 괜찮았는데 먹어보니까 속이 덜익어있었어요 휴지통에 핑킹이라고 적혀있는데 그거랑 상관없이 생고기에서 나는 비린맛이 나더라구요  샐러드가 맛있어서 더달라고 하니까 맛있죠? 원래 이거 다른집에서는 천원 받아요 그러더라구요 굉장히 생색내듯이. 차라리 ...
3,닭은 괜찮은데 알바들이 좀 불친절함. 그래서 안감.
4,3번째 방문중 여직원 친절하시고 맛도좋아요 조금아쉬운건 블랙치즈볼이 작아진느낌..
5,굿
3,순살이 복불복임. 처음엔 맛있었는데 순살치킨에서 자꾸 비린맛이 남. 2번 시키면 1번은 비려서 못 먹을 수준. 사장님께 비린맛 난다고 얘기했는데 안 고쳐짐. 닭 공급은 회사 차원에서 고쳐야 할 문제 같은데 왜 안 고치는지 모르겠음. 
5,사장님 친절하시고 치킨도 맛있어요
4,
5,맛있네요
5,왜 리뷰가 하나도 없죠?여기 골뱅이 무침 후라이드 진짜 너무 맛있어요.오늘 다른곳 유명하대서 주문해보고 앞으로 절대 배신 안 하려구요 진짜 푸짐하고 여기 이모님 너무 친절하심 후라이드는 여기만의 독보적인 파삭함과 맛이 있음
5,맛집없고 심심한 묵동에서 이만한 치킨집은 축복이다
5,포장해서 사먹을정도로 가성비도 좋고 진짜 맛있어요. 동네사람들은 다 아는 치킨맛집
