업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,철인7호치킨 홍대점,5.0,"1,393",101,서울 마포구 양화로6길 99-3 반지하,02-324-7175,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/26871883
치킨,아웃닭 홍대점,3.6,32,90,서울 마포구 와우산로17길 19,02-333-6334,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/22353150
치킨,더블플레이치킨 동교동본점,3.8,9,22,서울 마포구 동교로 201 2층,070-7530-9042,영업시간 월~금 17:00 ~ 02:00,https://place.map.kakao.com/37052170
치킨,치킨앤카레군,4.0,43,89,서울 마포구 어울마당로 125 1층,02-326-2498,매일 03:00 ~ 23:30,https://place.map.kakao.com/26922987
치킨,로켓치킨,3.3,8,62,"서울 마포구 양화로7길 6-4 1,2층",02-335-7723,영업시간 매일 15:00 ~ 03:00,https://place.map.kakao.com/2079469733
치킨,옥상달빛치킨 본점,3.9,11,19,서울 마포구 와우산로13길 2 2층,02-3143-4785,영업시간 매일 17:00 ~ 04:30,https://place.map.kakao.com/27264296
치킨,치킨인더키친 홍대본점,4.2,41,39,서울 마포구 와우산로29길 4-42 2층,070-7526-2487,영업시간 월~금 17:00 ~ 00:00,https://place.map.kakao.com/16378493
치킨,노랑통닭 홍대점,3.8,44,20,서울 마포구 홍익로3길 8,02-335-2229,매일 12:00 ~ 05:00,https://place.map.kakao.com/19924172
치킨,교촌치킨 홍대점,2.2,17,10,서울 마포구 양화로16길 6,02-338-1300,매일 12:00 ~ 24:00,https://place.map.kakao.com/807263903
치킨,꼬꼬순이 동교본점,3.5,17,14,서울 마포구 연희로 1,02-335-4427,영업시간 월~토 14:00 ~ 02:00,https://place.map.kakao.com/9734502
치킨,BBQ 홍대반가점,3.5,15,18,서울 마포구 어울마당로 131-1,02-336-7676,매일 11:00 ~ 02:00,https://place.map.kakao.com/1424798767
치킨,BHC치킨 홍대점,1.5,26,10,서울 마포구 홍익로6길 10 준봉빌딩 2층,02-325-3112,매일 12:00 ~ 24:00,https://place.map.kakao.com/26628346
치킨,지코바 서교1호점,1.9,11,6,서울 마포구 홍익로5안길 43,02-333-9225,,https://place.map.kakao.com/1999292915
