score,review
5,재휘야 대영고 용석이다 참 행복하다 너란 친구를 둬서 자랑스럽다 
5,조만간 찾아갑니다
5,돈쯀좀 나야됨
5,돈쭐내러 왔다갑니다~
3,맛은 있는데 카드 나눠서 결제도 안되고 순살도 안되고 너무 아쉬웠습니다..
5,내
5,카카오맵 평점 5점주는 기계들이 모인 곳이다
5,
5,미루다 미루다 오늘에야 가보려 합니다. 잊지않고 있어요~
5,
5,사장님 때문에 아침부터 눈물이 하염없이 흐릅니다 홍대가면 무조건 갈께요.  따뜻한 세상 만들어 주셔서 감사합니다.
5,존맛
5,
5,
5,
5,우연히 근처를 지나가다가 사연이 생각나서 방문해봤는데 맛도 있고 심지어 양도 많네요? 돈쭐 신나게 내드리고 싶어도 배가 불러서 ㅠ 다음에는 좀 더 노력하겠습니다!
5,귀인이 계신곳 ....돈쭐내주세요.
5,
5,
5,감사합니다~!
5,
5,밑에 별한개에 인성 운운하며 평가남기신분 27일 리뷰만 11개나 남기셨네요 ㅋㅋ  악의적인 댓글알바 
5,
5,
5,
4,나쁘지않네요
5,아웃닭은 사랑입니다
3,평범
5,여기 치킨 진짜 최고다최고ㅠㅠㅠ
5,갈릭순살 진짜 맛ㅇ
4,양도 푸짐하고 같이오는 감튀 넘 맛있어용 ㅎㅎ
5,
5,요기는 왜 시간이 지날 수록 맛있어지구 친절해지시나용
4,양이 좀 준거 말곤 괜찮은듯
3,맛은 좀 줄었는데 양은 맛있어요
4,양이 좀 줄었어요 ㅠ
5,"양, 맛 최고 "
5,최근에 양이 확 줄엇지만 여전히 배부르게 먹을 수 잇음 서비스 맛 양 가격 모두 좋음 줄서는 이유가 잇는 집
5,직원분들 너무 친절하세요 일단 오케이! 치킨도 맛있게 잘 먹고 갑니다~^^**
3,포장해서먹엇음 양 혜자임
3,음식 너무 기름짐 양 많아서 가는 곳임 테이블은 끈적거리고 직원부르기 힘들고 
3,밖에서 기다렷는데 레쓰비 주시고 빼빼로데이라고 빼빼로 주셧어요!! 양은 딱 한마리 양인데 튀김양이 많아서 2만원 정도에 가성비 나쁘지않은것같아요 둘이먹기엔 많습미당
2,소스는 다양해서 좋은데 치킨 퀄리티만 놓고 평가하자면 그닥... 한번은 궁금해서 가볼수 있지만 두번은 가고싶은 생각이 안드는 맛. 사람마다 입맛이 다르다지만... 글쎄요.. 좀더 맛있는 음식에 돈을 쓰라고 하고싶음.
4,"We ordered 케인즈 갈릭치킨 which was really good. And since it's the whole chicken, it definitely can feed three people. The waitress who took an order wasn't really friendly."
1,감자튀김70퍼센트 치킨30퍼센트 가지마셈
4,+간장/후라이드반반 치킨이 촉촉하고 맛있음.
1,치킨맛만본다면 별로임. 교촌이나 노랑통닭등이 훨 나음  분위기 양은 좋음
4,죠씁니다~! 신촌점보다 훨 나아요.
4,치킨 구성이 좋음!!! 주의할 점으로는 매우 시끄러움과 웨이팅 있을 수 있음?! 
1,"제발 노래좀 줄여달라해도 절대 절대 절대 끄덕도 안함. 쳐먹고 나가라는건 알겠는데, 고막이 터질걸 같다구..."
2,흠..
1,직원분인지 사장님인지 지인분들 여러 테이블 차지하고 5인집합금지 어겨가면서 시끌벅적 대단하시더군요 너무 시끄러워서 후라이드 가뜩이나 맛없어서 남기고왔습니다 다신 안갈래요
4,"치킨은 평타 이상이고, 생맥주가 유난히 부드럽고 맛있습니다~ 특히 야구 관람에 특화된 곳이어서, 야구에 치맥 좋아하시는 분들이 가면 엄청 만족하실 만한 곳이에요~ 다만, 분위기가 그렇다 보니 좀 시끄러운 감은 있습니다~ㅋ"
5,와 대박이에요  홍대 치킨은 여기에요 진짜;;; 후라이드가 미쳤고 어묵탕은 더 미쳤어욬ㅋㅋㅋ 리뷰보고 반신반의하고 갔는데 조온맛 ;;;;;; 치킨 먹고 싶을때 갈게영 ㅎ ㅎㅎ 
5,"순살로 후라이드+양념 반반치킨 치킨이 깔끔하게 나온다. 후라이드엔 작은 웨지감자, 양념엔 떡꼬치 맛이 나는 떡볶이 떡이 같이 나온다. TV가 다섯 대 있는데 전부 야구중계 틀어주고 있다. 주인이 LG팬인 것 같다."
4,
5,갓치킨. 갓서비스. 앞으로 홍대치킨은 여기다
4,좋음
4,배달로 먹었는데 크리스피함이 최고시다ㅠ 튀김옷도 맛있고 소스도 맛있고 (할라피뇨체다치킨) 이사가서 못먹는게 천추의 한
1,이게 만사천원입니다 치킨은 어딨나요 저 가루같은 부시러기가 치킨인가요  진짜 ... 너무 맛없고 양도 ㅋㅋㅋ 어이가없네
5,"치킨 너무 부드럽구, 크림 파스타도 되게 꾸덕하니 맛있었당!!ㅎ"
5,첫 방문입니다 크림파스타 파마산 치킨과 마크니 커리 오븐치킨 먹었습니다 기대이상으로 맛있게 먹었고 직원분들도 친절하셔서 감사히 먹었습니다
1,맛도무난 별거없는데 쓸데없이 평이 높아서 평점 맞춰드림 맛 별 2-3점. 카레도 걍 카레맛. 파스타도 걍 파스타맛
5,홍대 오랜만에 나와서 우연히들렸는데 치킨은 후라이드라는 내 생각이 깨졌네요!!! 닭이 넘 부드럽고~ 연하네요ㅠㅜ감동ㅠㅜ 담에 오면 딴것도 먹어봐야겠어요~
5,치킨마크니커리먹었는데 달달하고 소프트 하니  딱~! 내 스타일였따ㅋㅋㅋㅋㅋ
5,크림파스타가 엄청 꾸덕하고 맛있어요!!! 카레도 이색적이라 추천합니당!
5,홍대지나다가 맥주한잔생각나서 무심코들렸는데 안주맛집~!! 이였음ㅎㅎ 시원한 맥쥬랑 기분좋게 먹고왔당!!!
5,지나가다 치킨커리라는게 눈에띄어서 들어가서 먹었는데  정말 기대이상으로 맛나서 놀랐음ㅋㅋㅋ 커리스타일도 독특하고 암튼 첨 먹어보는맛인데 엄청맛났어욤~~ㅎ
5,친구랑 머먹을까 고민하면서 걷다가 들어간 집.. 이름부터 치킨앤카레?? 치킨도 땡기고 카레도 좋아해서 들어갔는데.. 이집에 완전 반했다!!~^^  일딴 기본으로 치킨하나 먹고 부족해서 직원분 추천으로 먹은 크림 파스타.. 완전 내 스타일!!~~ㅋㅋ 친구랑 너무 맛있게 잘먹고 갑니다~  담에 또 올게요~ㅎㅎㅎ
5,"별생각없이 들어갔던 집이였는데 맛집이여서 깜짝 놀랐음~~!!  마살라커리 맛있고, 치킨도 육즙이 팡팡터지는 느낌ㅎ"
5,크림파스타 정복 완료!ㅎㅎ 일반 크림보다 치즈향이랑 꾸덕함이 너무너무 완벽했어요! 잘 먹었습니다
5,술이랑도 좋고 저녁밥으로도 좋네
5,길가다가 배고파서 들어가봤는데 만족스러웠습니다. 파스타는 촉촉한데 꾸덕해서 제 취향이었고 파마산 치킨은 일반 프랜차이즈에선 느낄 수 없는 독특한 맛이 나서 좋았습니다 또 방문할 의향 있습니다
5,저녁에 방문해서 치킨바베큐가있어서 시켜먹어봤는데 완전단짠한게 내 스타일이였음
5,"직원들이 친절하네용 마크니커리는 부드럽고, 치킨바베큐는 단짠단짝해서 맛났어욤~ 강추합니다~~"
5,마크니커리 닭고기도 큼직큼직하고 카레가 부드럽고 포근한게 아주 끝내줬습니다 !
5,식사 겸 맥주 마시려고 시킨  바베큐ㅎㅎ 향과 맛이  좋아서 잘 먹었습니다 다음에는 다른메뉴들도 도전해 봐야겠어요~~
5,안정적인 파스타랑 도전적으로 리조또 시켜봤는데 파스타 비주얼 맛 최고 리조또 비주얼 처음엔 응??이랬다가 한 입 먹자마자 설거지 해버렸네요 
5,치킨이랑 카레 파는 집 정도로 알고 갔는데 파스타가 ㅈ맛이라서 깜짝 놀랐네요ㅋㅋㅋ 꾸덕하고 치즈향이 강하게 나는 느낌이랄까 같이 나온 치킨도 맛났슴다~~ 크림파스타 강추!!
5,바베큐는 단짠소스에 먹으면 먹을수록 중독됩니다~~~ 그리고 팔락은 닭고기랑 꼭 같이드세요  진짜 맛잇습니다
5,"마살라, 마크니카레랑 바베큐플레터시킴 마살라는 적당히 이국적이면서도 개성있는 카레였음, 마크니는 메뉴판 설명대로 딱 부드럽고 크리미하게 잘 먹을수 있는느낌. 바베큐는 커리들과 곁들어서 먹기에 좋음. 수비드쳤는지 속살 생각보다 많이 부드러움. 밖에선 못느꼈는데 생각보다 메뉴는 훌륭한편"
5,간만에 홍대나가서 어디갈까 하다가 예전에 갔던기억이 있어서 다시가봤는디 업그레이드됫네영!^____^ 와오!! 자주가던 찐카레집이 없어져서 먹을만한 커리집없었는데ㅠ 여기가 커리맛집이네요 먹어본사람은 아는 내가 진짜야!>.<  하는 그 너낌…. 사장님 고마워여ㅠㅠ 코로나시국을 기리며=_=? 코로나맥주랑 한잔했는데 왐마… 늠나 맛나요 이 가격이면 재료로 장난치는...
1,오 매장분위기 보고 깜짝놀라서 나가려다가 맛만 있으면됐지 싶어서 먹었는데 이렇게 맛까지 없을줄은 몰랐네요. 맛이 충격적이라 악몽에도 나올 것 같아요ㅠ
1,
5,난간이 깨끗해요
3,치맥을 연구하는 치킨정신의 발로 ~ 빠네치킨 꽤 괜찮다.
1,"점심특선으로 수제등심돈까스를 걸어 놨는데, 아니 점심특선으로 하니 이해는 하겠어요...이게 과연 수제 돈까스인지 그냥 냉동 돈까스 에어프라이에 해동한 뒤 튀긴 것 마냥 잘린 고기 단면은 다 말라있고, 두께는 또 얼마나 얇은지... 차라리 이거 먹을 바에..저기 국밥을 먹으러 가지요.."
4,파닭이 신선하니 좋네용 ㅎㅎ 굿
3,알바분이 마스크를 안써요 ㅠ
5,여기 맛있고 사장님 참 친절하세요!! 담이 또 가기로 했습니다.
1,양념 후라이드 순살 반반 시켰는데 양념 다섯조각  닭강정을 사드세요   홍대 월세 생각해도 납득이 안가는 가격19000대비 양입니다  최악이네요 별한개도 아까움
4,큰화면!!! 축구 보긴 딱 좋다
3,쏘쏘~ :)
4,
5,마늘치킨 맛있어요
5,
5,정말정말 맛있어요 !! #치맥
3,
3,
5,
3,
3,"아웃닭에 기다리는 사람이 너무 많아서 대신 간 치킨집. 건물 2층과 옥상을 쓰는데 2층은 일반 식당 테이블이고 옥상은 편의점 밖에서 쓰는 테이블과 의자. 해가 완전히 지고 가야 분위기가 살아나는 집. 마늘고추+후라이드 반반을 먹었는데, 다음에 간다면 마늘고추만 먹을 듯 하다. 웨지감자가 퍽퍽하지 않고 맛있다. 다만 음식 양은 다소 적다는 느낌. 생맥주로는 ..."
4,
5,간장치킨 떡볶이 레몬맥주 뭐하나 빠짐없이 다너무 맛있었어요  사장님도 너무 친절하시고 최고! 단점은 외국인단체테이블이많아서 너무 시끄러웠단거..
5,친절한 사장님 로제 치킨에 양파링튀김 추가하면 존맛탱  근데 가을철 창가 자리는 주의 창문 열어 놓으셨는데 벌레가 슝슝
5,맥주 큰게없고 잔으로만 하시는데 먹자마자 되게 맛있어서 놀랬어요 그리고 치킨도 맛있고 좀 많이 시켰는데 사장님이 친절하게 많지 않으시겠냐고 반마리도 된다하셔서 감동!!@@ 치킨 맥주 넘잘먹었어요 ㅎㅎㅎ 
5,치킨.떡볶이.피자 다 맛있고 가격도좋고 사장님도 완전 친절하심요ㅋ
5,사장님 아주 친절하시고 맥주 맛있습니다. 
5,사장님 너무 친절하시고 치킨이 진짜 맛있어요
5,가본적은 없지만 침터뷰 보고 리뷰 적습니다. 무조건 맛있습니다
3,사장님 정~~말 친절하시고 치킨도 맛있어요!
5,"맛과 분위기, 음악 취향마저 완벽했던 맛집입니다:)! 사장님분들 정말 친절하셔서 기분까지도 좋아지는 곳이었습니다!! Rock never dies!!"
5,간장마늘치킼너무맛있어요ㅠㅠ 사장님 너무 친절하시구 또올게요:)
5,너무너무 맛있었습니다! 인생맛집 찾은거같아요!!
5,산울림소극장에서 공연보고 아내와 들른 맛집... 친절은 기본... 일하시는분들 너무 친절!!...  치킨맛은 너무 맛있다!
5,사장님이 친절하시고 가격은 일반 치킨집이랑 비슷한데 양이 많고 정말 맛있어요. 몇년전에 좋아하던 사람이랑 몇번 가서 그런지 기억에 더 남는 곳. 재방문 몇십번이라도 더 하고 싶지만 집이랑 머내요 ㅠㅠ 맥주가 진짜 맛있어요!
4,
5,사장님 서비스 짱입니다 ㅠㅠ 마늘간장치킨... 맛있습니다..ㅠㅠ
5,금요일 저녁시간대라 사람이 많을 것 같아서 미리 전화드렸더니 예약석으로 해주신다고 하시고 넓은 자리 나오면 바꿔주신다고 해주셔서 너무 감사했습니다! 도착했을때도 친절하게 맞아주시고 치킨도 너~~~무 맛있고 진짜 인생치킨집 입니다. 마지막까지 친절하셨던 사장님 번창하세요!!!!
3,
5,저렴하고 맛있어요. 사장님도 친절하시구요~ 
4,간장맛 추천.
4,
3,이유는 잘 모르겠지만 더웠어요ㅠ 오리지날보단 간장맛 추천!!!!
4,간장 맛이 맛있어요 ㅎㅎ 만족
3,
5,또생각나서 가고싶은집
5,
3,맛은 있는데 위생상태는 약간 애매한.. 
4,"바삭바삭 노랑통닭이 짱인듯,... 굿굿"
5,적어주신 시간보다도 빨리 오고 바삭바삭하고 진짜 맛있어요!! 배민 리뷰 쓰는 중간에 앱이 꺼져서 다시 쓰려니 안되가지고ㅠㅠ 이렇게라도 쓰는데 사장님 너무 죄송해요ㅠㅠㅠ 근데 진짜 맛있습니다!!!
5,주말에 치킨이 너무 먹고싶어서  친구와 함께 방문했는데  정말 맛있었어요  특히 3종치킨이 가장 맛있었어요!  노랑통닭 오길 잘했다는 생각이 ㅎㅎ  마늘치킨도 인기가 많대서 너무 궁금해요  다음번에 방문했을땐   마늘치킨 먹어봐야겠어요
