업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,카츠네치킨 교대역본점,4.0,3,67,서울 서초구 반포대로30길 57 1층,02-6052-2128,월~금 11:30 ~ 23:30 · 브레이크타임 월~금 13:30 ~ 17:00,https://place.map.kakao.com/1401055050
치킨,캔프치킨,4.3,9,14,서울 서초구 반포대로24길 96 구산빌딩 1층,02-521-1108,영업시간 월~토 15:00 ~ 23:00,https://place.map.kakao.com/25413258
치킨,BHC치킨 서초교대점,3.5,8,4,서울 서초구 서초대로50길 90,02-525-9282,매일 12:00 ~ 24:00,https://place.map.kakao.com/2108543334
치킨,치킨24 교대본점,5.0,1,7,서울 서초구 서초대로50길 66,02-521-0021,,https://place.map.kakao.com/1596195072
치킨,노랑통닭 교대점,3.9,32,23,서울 서초구 서초중앙로 125 로이어즈타워 104호,02-523-8292,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/24287226
치킨,교촌치킨 서초3호점,2.7,9,2,서울 서초구 사임당로 31,02-582-9233,매일 10:00 ~ 03:00,https://place.map.kakao.com/481596507
치킨,BBQ 교대본점,3.8,11,4,서울 서초구 반포대로28길 70 1층,02-584-9009,매일 11:00 ~ 23:00,https://place.map.kakao.com/1188754065
치킨,바른치킨 남부터미널점,3.6,12,20,서울 서초구 반포대로10길 35 서초지웰 상가동 1층 101호,02-588-1184,영업시간 월~금 16:00 ~ 01:00,https://place.map.kakao.com/27462692
치킨,BBQ 서초스타점,4.3,3,0,서울 서초구 반포대로19길 9-3,02-581-9282,,https://place.map.kakao.com/43226342
치킨,조가홍닭 남부터미널점,4.5,6,4,서울 서초구 효령로55길 22 그린빌오피스텔 104호,02-3471-0130,영업시간 월~토 15:00 ~ 03:00,https://place.map.kakao.com/26855997
치킨,지코바 서초1호점,4.2,5,4,서울 서초구 반포대로19길 21,02-585-9282,매일 11:00 ~ 02:00,https://place.map.kakao.com/860110247
치킨,푸라닭치킨 서초3동점,2.3,20,1,서울 서초구 명달로 54 1층,02-588-9206,,https://place.map.kakao.com/1650098691
치킨,더대박치킨 서초점,4.6,21,1,서울 서초구 서초중앙로 49 동양라디안루키 1층 103호,02-581-0360,,https://place.map.kakao.com/419426529
치킨,깐부치킨 교대점,5.0,1,19,서울 서초구 서초대로50길 62-4,02-581-7776,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/445319473
치킨,깐부치킨 예술의전당점,3.8,4,2,"서울 서초구 남부순환로 2419 아트빌딩 1층 2,3호",02-522-9230,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/17098311
치킨,굽네치킨 서초3동점,2.0,12,0,서울 서초구 반포대로22길 79-5 1층,02-588-9492,매일 12:00 ~ 24:00,https://place.map.kakao.com/1089533625
치킨,기발한치킨 교대역점,0.0,0,1,서울 서초구 반포대로30길 42 1층,02-3474-3384,,https://place.map.kakao.com/21553321
치킨,호식이두마리치킨 서초1호점,5.0,1,1,서울 서초구 반포대로9길 75,02-522-9931,영업시간 매일 13:00 ~ 01:00,https://place.map.kakao.com/25132862
치킨,박군치킨 서초3동점,0.0,0,3,서울 서초구 효령로46길 5,02-523-5828,,https://place.map.kakao.com/490973204
치킨,쌀통닭,0.0,0,0,서울 서초구 서초중앙로5길 10-8,,,https://place.map.kakao.com/1910521683
치킨,명가통닭,3.0,1,0,서울 서초구 서초대로40길 54 2층,02-522-7888,,https://place.map.kakao.com/825947681
치킨,유유숯불바베큐,0.0,0,2,서울 서초구 효령로 171,0504-109-2968,매일 11:00 ~ 05:30,https://place.map.kakao.com/727556527
치킨,명동치킨,5.0,2,2,서울 서초구 서초중앙로 45,02-584-3832,,https://place.map.kakao.com/9026806
치킨,모던통닭 교대역점,1.0,1,1,서울 서초구 서초대로 270,,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/1822928308
치킨,엘에이디치킨 교대점,0.0,0,0,서울 서초구 반포대로30길 90,,,https://place.map.kakao.com/26917365
치킨,제이에이치와이치킨,0.0,0,0,서울 서초구 반포대로21길 27,,,https://place.map.kakao.com/1923286906
치킨,양계장집아들,4.0,1,3,서울 서초구 효령로57길 4,02-587-3752,,https://place.map.kakao.com/994307302
치킨,이모네꼬꾸이,3.0,2,5,서울 서초구 효령로 305,02-585-5592,,https://place.map.kakao.com/20060682
치킨,바비큐보스 숯불두마리치킨 서초점,0.0,0,0,서울 서초구 서초중앙로 18,,,https://place.map.kakao.com/1943957700
