score,review
3,치킨 맛있다해서 갔는데 그냥.. 치킨맛 ㅎ 나오는데만 30분 걸렸어요... 그거에 비해 맛은 그저그럼
5,돈까스 맛있어요. 음식깔끔 분위기도깔끔해서 점심때 좀만 늦게가면 줄서야됨. 허니갈릭소스?그거 맛있음 
4,
5,치킨 특이하고 맛있어요~ 진짜 감자(?)를 썰어서 튀겨주시는 것도 너무 맛있고요~  사장님~ 얼른 문 다시 열어주세요~~ 캔프치킨이 너무 그리워요~
5,여기 치킨집 제 인생치킨집인데 언젠간 다시 뮨열겠죵...ㅠㅠ?
3,프랜차이즈가 더 맛있는디 ..... 
3,맛있어요 캡사이신 안 써서  매운맛을 시켜도 먹을 수  있어요
5,제일 좋아하는 치킨!!!
5,친절 깔끔 완전 강추해요 
5,묻따말 캔프치킨 드세요!!!3만원쯤 내도 아깝지 않은 맛! 고데리치킨+감자 추천합니다! 치킨은 달짝지근하면서 매콤한 맛으로 느끼함을 잡아주고 감자는 포슬포슬하게 맛있었어요! 어디서 못 먹어본 정말 새로운 치킨이었어요!!! 정말 신선한 재료로 만드시는것 같아요. 다음에 또 이용하겠습니다!
4,
4,
5,역시 BHC~~~ 배달도 빠르고 바삭하고요~  맛있어요~~~~~~
1,순살치킨 너겟인가요 
4,후라이드 양념반반 맛있게 먹었습니다.  후라이드가 아주 바삭바삭했고 양념도 듬뿍 들어있어요. 
5,주마다 맛있게 먹고있습니다 감사합니다!!
1,"후라이드, 처음 뜨거울때는 몰랐는데 뒷맛에 기름냄새가 오래남음. 기름 교체안하고 너무 오래쓰는 듯. 다신 안시킬겁니다."
2,후라이드를 시켰는데 생각보다 너무 뻑뻑하고 따뜻하지않았어요 뭔가 식은걸 한번더 튀긴느낌이 들었어요
5,최고.... 뿐이라는 말 밖에 안 나와요
5,주문을 실수로 잘못 넣었는데도 화내지 않으시고 이해해 주셔서 정말 감사합니다. 다음에도 또 찾아갈께요. 
5,"사장님도 알바생분도 우선 너무 친절하시구, 치킨 튀김도 너무 맛있어요! 서비스도 좋으시구 앞으로 자주 올 예정입니당!"
1,"너무 기분나빴어요. 포장관련해서 알아보겠다고 가더니 10분동안 아무소식도없고 다시가서 얘기하니까 해결도 안되어있고, 매니저님이 사과는 했지만 결국 원하는건 해결되지않았고, 손님을 대하는 태도부터 다시 처음부터 배워야할듯 싶네요. 본사에 전화하려다가 참는줄아세요."
1,"친절, 위생 최악 홀 바닥에는 기름이 쩌억쩌억 청소좀 합시다  추가)20년 11월에만 별다섯게 평가 20개 ㅋㅋㅋ 별점 올리느라 고생이 많아요 일하는분들 "
2,내가알던노통이아냐.. 양념이약해요 양념향만남
5,옛날통닭맛을 느낄수 있는거 같아요 정말 맛있고 근래에 먹어본 치킨중에 최고였네요
5,세가지맛 세트메뉴가 가장 맛있는거 같아요 누구나 맛있게 즐길수 있는 맛!
5,매장이 깔끔하고 응대도 친절해요 노랑통닭에서는 후라이드가 정말 맛있더라구여^^
5,후라이드 튀김옷도 바삭하고 카레향도 나고 맛도 너무 좋았습니다
5,매콤 후라이드 굿굿~! ^^b
5,퇴근하고 치킨 생각나면 직원들이랑 항상 가는 곳인데 친절하고 맛있어요
5,생길때부터 갔던 곳인데 치킨이 존맛이에욤 특히 똥집도 진짜 강추에요! 감튀도 대박 ㅋㅋ
5,다른 곳 보다 양도 많은거 같구여~~~ 친절함도 나이스 해요!! 맛도 매우 좋아여
5,하루종일 노랑통닭이 먹고 싶어서 저녁때까지 엄청 힘들었네요..ㅎㅎ 마늘치킨 진짜 좋아해요
5,여기 파닭 예술이네요 진짜 맛있었습니다 친절하고 좋아요!
5,매콤후라이드 맛있더라구요 다른데는 없는 메뉴라서 노랑통닭에서만 먹어요
5,제 생각엔 가성비가 가장 좋은 치킨이 노랑통닭인거 같아요 무조건 강추에용~~:)
5,치킨맛이 깔끔합니다
5,역시 치킨은 튀겨서 바로 먹어야 제맛인거 같아요^^
5,맛있어요 소스도 맛있고 튀김옷도 적당하고 굿이네요
5,별점 5점 만점이요 가격도 맛도 모두 괜찮았어요
5,애들도 너무 좋아해서 종종 먹이는데 너무 맛있어요 양도 많아서 조아요^^
5,치킨 맛있었어요 순살3종으로 다양하게 맛볼수 있어서 좋더라구요
5,마늘치킨 너무 맛있게 잘먹었네요 바삭하고 마늘향도 가득하고 최고~~
5,후라이드가 참 맛있는 노랑통닭~ 양도 많고 맛도 좋네요
1,파리들이 드론처럼 날리다니고 테이블이 끈적끈적해서 치킨 먹는 내내 찝찝하다. 손으로 벌레 쫓고ㅋㅋㅋ 다신 안 갈듯
1,깐풍치킨은 맛있었으나 양념치킨은 양념에 빠져서 밑에 가라앉은 치킨들은 먹기 힘들었어요ㅠ 4시쯤 왔는데 테이블들은 어제 기름 안닦은 느낌이라 물티슈 부탁해서 닦았는데 때가.. 물티슈 3장써도 계속 나와서 포기했어요. 직원들 모두 마스크 미착용입니다 청결 -100
1,바빠서 어투가 좋지 못하게 나올것 같으면 사람을 더 쓰거나 하세요;;
1,왠만하면 후기 안남기는데 너무 어처구니가 없어서 남깁니다. 퇴근길에 서초2호점이 가까워서 전화로 포장주문을 하고 찾으러 갔더니 휴무네요. 다시 전화해보니 3호점으로 전화를 돌려놓았답니다. 배달도 아니고 고객이 직접 찾으러 가는 포장인데 안내를 안해주면 어쩌자는 겁니까? 똥개훈련 시켜요? 전화를 돌려놨는지 어쨌는지 아무런 안내가 없는데 어떻게 알고 3호점으로...
4,맛있어요
1,진짜 불친절의 대명사. 돈내고 을질 당하는. 내일 망해도 이상하지 않은 곳.
5,양도 푸짐하고 맛있어요!
5,맛+ 친절 추가된 곳
1,닭 언제 껀가요 ㅠㅠ 닭다리뼈 끝이 시꺼매요 튀김옷은 말라 있고요. 여튼 서초동에서 치킨먹으려면 ㅂㅂㅋ 또는 ㅇㅅㄱ 에서만 시킬듯
5,완점친절하샤요  포장했는데 치킨도 빨리나왔고  소스 듬뿍이라 너무 너무 맛있었어요 최고!!❤
1,리뷰 보고 대충 짐작은 했지만 ㅋㅋㅋ 배달전화 이렇게 시비조로 받는 매장 오랜만이네요 미친 ㅋㅋ
5,바쁘신 와중에도 친절하신 사장님 먹기 전부터 기분좋습니다 ㅎㅎ 맛도 물론 휼륭하구요 잘 먹었습니다  무 안먹어서 빼달라고 말씀드렸는데 무대신 콜라주신다고..콜라도 안먹는데.. 말씀드리니 양념 한개 더 챙겨주시고  하나라도 더 챙겨주시려고..ㅎㅎ감사합니다!
5,맛 좋고 사장님 친절
1,별 반개 못줌? ㅠ 
5,다른데서 주로먹는데 황올세트먹고 반했어요 ㅎㅎ 닭도크고 겉바속촉이라 제대로 흡입했네요 앞으로도 자주 시켜먹을듯합니다
1,싸가지없음
5,"배달로 5번 정도 시켜먹었는데 모두 만족입니다. 닭이 우선 상태가 좋습니다. 살도 많고 크기도 크고요. 잘튀겨진 황금올리브는 개인적으로 치킨 끝판왕이라 생각합니다. 서초 치킨집중에 불친절한 곳, 오래된닭 쓰는곳 (아직도 ㄱㅊㅊㅋ닭냄새 생각하면 메스꺼움) 걸러내면 개인적으로 믿고 시켜먹는 치킨집 딱 두군데 나오는데... 그중 하나 입니다 ㅎ 순살보단 뼈있는 ..."
1,아줌마 불친절 짜증냄
4,맛있어요 가게도 깔끔하고 시원함!
5,맛있고 친절해요^^
5,
5,
5,맛있어요
1,"여기는 그냥 편하게 고정손님이 잇다고 생각하나봐요,,,,,, 바르지않아요"
1,주문한게 40분넘어서도 안나옴. 물어보니 까먹었다함.  미안하단말 한마디도 없음. 주변에 먹을대가 없어서 왔는데 치킨 별로임. 맥주만 맛있음.
5,완전 짱짱짱!!!!! 여기는 진정 맛집이고 맛도 건강합니다!!! 
4,정말 친절하고 맛있어요
5,
5,다이어트 하시는 분들은 절대 비추입니다ㅜㅜ
5,
5,강추합니다!
1,기분좋게 먹고 있는데 머리카락 나옴;; 다시는 안시킴. 
3,
3,
5,앞에분 말대로 여사장님 너무 친절하시네요 기분좋게 치킨 맛있게 먹었습니당
3,"매장에서 먹었는데 사장님이 포장용 메뉴판으로 잘못 주셔서 4,100원 차이가 났네요  결제할 때 알아서 좀 당황스러웠어용 ㅎㅎ..."
5,여사장님 친절하세요~!
5,여기 어니언치킨 진짜 맛있어요.토핑도 많이 올려 주시고 여기 올때마다 이거 먹어요. 양념치킨도 꿀맛
5,진리의 크림 순살
4,뼈보단 순살인가봄 담엔 순살 ㄱ다
5,진짜 맛있어요
5,기름을 자주 바꾸시는거 같아요 튀김이 굉장히 바삭하고 뽀송해서 맛있어요 사장님이 굉장히 친절합니당! 거의 마감할때 주문햇는데 퇴근하면서 가져다 주셨어요 콜라도 서비스로 주셨어요ㅎㅎㅎㅎ 
3,
5,주방이 오픈되서 보이는데 깨긋해보이고 맛도 제가아는 맛있는 지코바 맛입니당 닭도조아요
5,맛있어용~  튀긴닭보다 느끼하지않고 소스도 너무 맛있어요~
5,밑에 역X점 사장님이 인가요?  쓰신댓글마다 불만투성인분 ㅎㅎ 지코바중 제일맛난곳이 여기입니다
5,이야 치킨맛집 찾았습니다 세번째 주문했는데 진짜 맛있게잘먹었습니다 ^^!
1,여기보다 역삼점이 훨씬 낫습니다 닭이 너무 딱딱함 안좋은 닭을 쓰는건지
4,맛있어요
5,후기가 안좋아서 걱정 했는데 저는 다른 분들이 말하시는 그분은 못뵈어서 그런지 몰라도 좋았어요 기프트콘 쓰면 인상 쓴다는 지점도 있던데 친절하게 필요한것도 바로 바로 알아채시더라구요 치킨두 기름이 많지 않아서 딱 좋았습니당 ㅎㅎ
5,오리지날 푸라닭이 젤 맛있음. 다른 건 쏘쏘..
1,마음대로 주문취소 하네요 사유는 고객이 취소했다고 하면서 
1,홀 여자직원 실수로 주문 잘못됐는데 제대로 사과없이 환불도 천원이 다네요. 다신 주문 안합니다
1,유후 ~
