업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,교촌치킨 신내1호점,1.6,5,5,서울 중랑구 신내로14길 21 101호,02-2209-9980,매일 12:00 ~ 24:00,https://place.map.kakao.com/17209319
치킨,BHC치킨 봉화산역점,1.0,4,2,서울 중랑구 신내로 193,02-3421-9935,매일 12:00 ~ 24:00,https://place.map.kakao.com/668388719
치킨,닭터누룽지통닭구이,5.0,4,6,서울 중랑구 용마산로129나길 3,02-433-3914,,https://place.map.kakao.com/2072199373
치킨,푸라닭치킨 신내점,3.0,2,2,서울 중랑구 신내로 58,02-434-9206,,https://place.map.kakao.com/381264686
치킨,BHC치킨 신내점,2.3,3,1,서울 중랑구 용마산로 669 데시앙아파트상가 106호 ,02-3422-3800,매일 12:00 ~ 24:00,https://place.map.kakao.com/24769088
치킨,BBQ 봉화산역점,3.0,4,3,서울 중랑구 신내로 225 1층 112호,02-3421-9892,매일 12:00 ~ 01:00,https://place.map.kakao.com/41050380
치킨,굽네치킨 신내1동점,5.0,2,2,서울 중랑구 봉화산로53길 30,02-436-9977,매일 12:00 ~ 24:00,https://place.map.kakao.com/17723296
치킨,자담치킨 신내점,0.0,0,2,서울 중랑구 봉화산로56길 86,02-2209-3232,,https://place.map.kakao.com/2019406763
치킨,노랑통닭 봉화산역점,4.0,4,4,서울 중랑구 신내로 211 금강리빙스텔 134호,02-3421-7275,영업시간 월~금 15:00 ~ 24:00,https://place.map.kakao.com/26622341
치킨,옛날통닭 신내점,5.0,2,1,서울 중랑구 봉화산로 194 신아타운 1층 109호,02-493-2243,매일 13:00 ~ 01:00,https://place.map.kakao.com/503809809
치킨,오븐마루 신내점,5.0,1,0,서울 중랑구 봉화산로52길 58,02-494-5959,영업시간 매일 15:00 ~ 03:00,https://place.map.kakao.com/22321133
치킨,지코바 신내1호점,3.3,3,9,서울 중랑구 용마산로125길 92 1층,02-433-9285,화~금 12:30 ~ 01:00,https://place.map.kakao.com/1023006442
치킨,페리카나 신내동점,0.0,0,21,서울 중랑구 봉화산로 236 102호,02-432-5355,매일 11:00 ~ 01:00,https://place.map.kakao.com/13030454
치킨,네네치킨 상봉1점,0.0,0,3,서울 중랑구 봉화산로52길 73,02-434-3544,매일 12:00 ~ 24:00,https://place.map.kakao.com/8215971
치킨,처갓집양념치킨 신내점,5.0,1,0,서울 중랑구 봉화산로56길 99,02-435-8438,,https://place.map.kakao.com/18919108
치킨,치킨마루 신내점,5.0,1,0,서울 중랑구 신내로 126 동성아파트 상가동 101호,02-438-1231,매일 14:00 ~ 24:00,https://place.map.kakao.com/17698859
치킨,사바사바 신내점,0.0,0,3,서울 중랑구 신내로 64,02-435-7292,,https://place.map.kakao.com/19182671
치킨,BBQ치킨 신내점,1.0,1,0,서울 중랑구 신내로7가길 10,02-433-9282,,https://place.map.kakao.com/406064710
치킨,멕시카나치킨 신내점,0.0,0,0,서울 중랑구 봉화산로54길 8,02-438-5992,,https://place.map.kakao.com/21234183
치킨,네네치킨 신내1점,5.0,1,0,서울 중랑구 신내로 135,,,https://place.map.kakao.com/8198652
