score,review
1,전화받는 아재 말투 ♪♩~ 싸가지없음. 번호요 해서 전화번호 불러주니 아니 쿠폰번호. 이러는데 내 돈주고 기분좋게 시켜먹으려는 입장에서 두번은 안시켜먹을듯.
4,
1,허니콤보는 괜찮았는데 간장은 진짜 여러번 튀긴것처럼 말라비틀어졌고 고기도 거의 없었어요. 배달도 늦고 현금으로 계산했는데 잔돈도 안들고 오고 해서 불편했어요
1,"바쁠때는 아예 주문 전화 안받고 단체 주문만 받던거 같았어요, 교촌 자체를 좋아하는데 동네인데도 불구하도 안시킴"
1,주문도 제대로 안듣고 배송와서 전화해서 잘못왔다니 아니라고 우기시는....잘못에대한 인정도 대책도 없고 그냥 답이 없어요.. 옆에서 듣고있던사람도 있는데..  그냥먹자하니까 먹는데 좀 그렇네요
1,
1,진짜 1점도 아깝다. 망해라.
1,어플 60분떠서 기다렸고 안와서 전화하니까 15분 더걸린다고 기다림 15분 지났는데 일방적으로 주문취소 하고 전화했더니 우리가 서비스요구해서 주문 취소했다고 거짓말 함 그런말 한적없다니까 부당대우(?)하고 말바꿔서 거짓말 지어냄 계속 말바꾸고.  이딴식으로 장사하면서 배민에 평안좋게 쓰면 개인문자보내서 싹싹빌고  진짜로 이런가게는 태어나서 처음봄 단골 무시...
1,a뭐임 이개 뿌링 치즈볼임??? 치즈볼아닌가 ㅡㅡ 장난 하나 배달도 2시간 가까이 걸림
5,메뉴가 전부 맛있어요
5,
5,기름기 적고 담백하고 부드러운 시장 통닭 맛. 식사 때 메인반찬으로도 쓸 수 있고 누룽지에 은행 별미. 단짠단짠 튀김옷에 치킨 드시는 분들은 안 맞을 것임.
5,
5,치킨이 맛있고 친절하신 사장님
1,별 하나도 아까움. 차라리 다른 지점 추천
1,단지내에 있지만 다른지점에 주문하게됨 궁금한게 있어도 사장님께 질문은 하지마세요
5,친절한 사장님 굿
1,배달 오토바이 좀 조용히 다녀라.
1,여기 양념맛이 너무이상하네요 쓰다고 해야하나? 뭔가 맛이너무 이상한데..
1,후라이드랑 양념 각 한마리씩 시켜먹은적 있는데 후라이드는 무난했지만 양념은 상한걸 보내줬음 오래된 닭을 양념 뭍히면 괜찮을거라는 생각으로 동네 장사를 한다고 생각하니 괘씸했지만 지인이 배민으로 주문해서 보내준거라 그냥 넘어갔음 아무튼 이집 닭 먹으려면 영념은 피하시길 바람
5,
5,너무친절해요ㅠㅠ 매장에서 먹었는데 서비스도 많이주시고 알바하시는 직원분이 너무친절했어요 초감동고객서비스 받음 ㅠㅠ
5,항상주문이 밀려있지만...친절하시고 맛있어서 여기서만 주문하게되네요! 최고에요
5,갈비천왕은 여기가 제일 맛있는 듯
5,친절하고 맛있어요~!!
4,갠차나요
2,
5,강초강추 봉화산갔다오면서 사왔어요
5,여기 다른 옛날통닭이랑 좀 다르게 맛있어요~ 자주 드세요 다들
5,맛있어요
5,유튜브보고 짜장치킨 떡볶이시켰는데 짜장치킨은 양도 적당하고 짜장맛도 안짜고 향도 안강하고 딱조화롭습니다 떡볶이도 매콤하니 맛있네요ㅎ 다만 짜장소스가 묽어서 좀샛지만 맛있어서 5점!
5,미쳤다..지코바 처음인데 내가 찾던 맛 소금구이랑 양념구이(겁나맵게) 시켰는데 딱 알맞게 입에 불나는 중 너무 많이 먹을까봐 접시에 담아 먹는데 리필각이다ㅠㅠ 담엔 더 맵게 먹어봐야지!! 아 술땡겨
1,보통맛 시켰는데 원래이렇게 매운가요? 매운거 잘못먹는 제입맛에는 넘 매웠고  젤 실망한건 맵더라도 촉촉했으면 맛있게 먹었을데 전체적으로 살이 다퍽퍽해서 가족들도 왜이리퍽퍽하냐고 한소리 들었네요 소문은 예전에 들었는데  매번 타사 후라이드 양념만 먹다 처음 먹어보는 지코바라 기대하고 먹었는데  닭이  너무 퍽퍽하고 기름도 많고 떡볶이떡은 다퍼지고..아직도 냉...
4,
5,어렸을때부터 양념치킨은 처갓집이다보니 여기서만 주문해서먹었습니다. 맛있어요 정말 맛있습니다. 사장님께 여쭤봐도 다른지점이랑 똑같은 레시피를쓰신다는데 저는 신내점이 제일맛있었던거같아요 쿠폰은 글쎄요...한번도 모아보질않았지만 만약 쿠폰을모아서 주문할정도라면 단골이라는걸 증명하는건데 좀 아쉽긴하네요 소탐대실...이라고할까요... 하지만 확실히 맛있긴합니다
5,배달이 안 되는 단점은 있지만 맛있어요~ 손님들도 많고 아주머니도 친절 해요!!! 
1,
5,
5,프차아니고 동네 로컬맛집 중학생때 엄마따라왔다가 10년째 먹는중 오븐치킨인데 바삭바삭하고 같이나오는 양상추샐러드가 찐임 개많이줌
5,신내동에서 내 입맛의 치킨 중 젤 맛나는 양념이 듬뿍 담아주시는 사장님.  닭가슴살도 젤 부드러움
1,첫주문 떡볶이 안주려고 트집이 많네요. 그럴꺼면 리뷰이벤트는 왜하는지...
3,크리스피어니언 시켰는데 여기 양파에서 물비린내? 너무심하네요 양파만 빼고 먹습니다
5,오픈에 구워서 겉은 바삭하고 속은 촉촉한 닭한마리 생맥주 생각날때 딱입니다 2선녀가 직접만들고 서비스도 좋고 매우 친절해 자주 가는데 맛있습니다
5,"아이 어른 할 것 없이 깔끔하게 맛있는 허니콤보~~ 역쉬 치킨은 ""교촌""이라 할 만합니다 거리가 조금 있는데도... 부르릉~ 빠른 배달에 따끈한 치킨... 딸래미가 가져온 화이트와인과 같이 먹었는데 잘 어울리네요~~^^"
5,
4,
1,집도 가까운데 배달의 민족 일부러 주문 거절함 언제부터 구역나눠서 배달 했다고 세번 주문 거절 당하고 기분 나빠서 두번다시 여기서 안시킴 개념 있으면 전화해서 사정 설명 했어야지 위에 리뷰 전부알바 써서 올린 리뷰네  빵점은 왜 못주지 ㅡㅡ
5,네
1,
1,포장해가면 가격이 올라가는 이상한 곳
5,정말 맛있어요!
5,치킨은 땅땅치킨먹어라 허브순살+불닭조합 너무좋다 쓸데없이 고급화만든 치킨들 다필요없고  땅땅시켜라 앞으로 치킨은 땅땅이다
5,
5,지금 주문하고 기다리는데 벌써부터 기가 막히네요...귀가 즐겁니다..기대됩니다
5,개꿀맛
5,
5,배달도 빨리 오고 닭 상태도 최고입니다.
5,"선물받은 쿠폰으로 시켰어도 친절, 맛있움 서비스로 주신 치즈볼도 잘먹었습니다^.^"
5,맛있습니다
5,사장님이 바뀌셨나요?? 저는 친절하시고 좋았네요 맛초킹 껍데기 바삭하고 맛있었습니다~ 치즈볼 서비스도 잘 먹었습니다!! 재주문의사 100%에요~~
1,"오징어 씹는 것도 아니고 왜이리 푸석푸석하나 싶어서 자세히 보니 닭겉면이 다 말라있네요. 왜 이렇게 된건지는 상상하고 싶지도 않고, 여기 시켜먹으면서 이런 적은 처음인 것 같긴 한데 간만에 기분 좋게 시켜 먹다가 기분 완전 잡쳐서 이제 다신 안시킴 바이바이"
1,싸가지 없음 전화해본 bhc들 하나같이 어떻게 이렇게 싸가지가 없나요 그냥 전화를 뚝 끊질 않나 ㅉ
4,
5,친절 하시고 맛 있어요
1,할인 할때 판매 안하는 센스 굿!!
1,아니 뭔 죄다 치킨이 기름을 머금고 있습니까? 이건 해도해도 너무하네 도중에 안익은 부분도 나오고 여기서 시키지마세요 다른지점에서 시키세요 예전부터 비비큐만 고집하던 내가 여기서 먹고 진짜 다른 치킨으로 가고싶었을 정도로 맛이 형편없었습니다.
5,아줌마가 서비스로 콜라도 주고 음식 리필도 빨리해주고 친절하셔서 기분좋게 먹고 갔습니다. 번창하세요~
1,
5,허니치킨세트 진짜!! 맛있어요. 교촌치킨은 먹다보면 짠맛이 강한데 허니치킨은 간이 딱 정당해요. 떡볶이도 엽떡보다 맛있었어요. 근데 2명이서 먹기엔 양이 많아요ㅋ 그래서 5명이서 야식으로 맛있게 먹었답니다. 또 가격보고 깜짝놀랬어요. 최고입니다!! 
3,맛은 있는데 홀 청결에 조금 신경 쓰셔야 될거같아요 주변에 치킨매니아가 없어서 찾아서 간건데 더러워서 불쾌했어요 컵에서 냄새가 좀 나구 식기에 뭐 붙어있구... 사장님은 친절하시고 좋으셨어요 
2,
5,
5,엄청 빨리 오고 평타 이상의 맛! 종종 대량으로 시켜도 메뉴 어긋남없이 항상 예상시간보다 빨리 와주는 감사한 곳. 전화주문이 특히 친절하시다. 번창하세요~
1,요즘 맛이 아님 수준 떨어짐
1,사장이 배달기사한테 쌍욕하고 보기안좋네요 
1,"교촌 참 좋아하는데 이 지점은 진짜 별로에요. 지난번엔 맛이 상한(?)걸 주더니, 이번엔 엄청 기다리게 하네요. 알바생 뿐이어서 그런지, 그런 문제들에 별로 개의치 않아하네요. 그냥 다른 지점에서 먹어요."
4,맛있어요!!! 뼈보단 순살 강추!
4,옛날보다 친절해짐 ㅎㅎ 치킨도 쏘쏘!
1,위생...
5,매장이 깔끔하고 응대를 잘해주셔서 마음에 들어요~!
1,어차피  배달이니 친절은 바라지도 않지만...고객에게 할말 못할말 구분못함... 집 5분거린데  그냥 묵동이나 신내점에서 시켜먹음
1,"지난번에 닭피가 나와서 묵동점에서 시켜먹다가 오늘 묵동점이 임시휴무라서 혹시나 시켰더니 닭이 제대로 익지 않아서 노란색 파우더가 그대로 있네요,,역시나 상봉점에서 시켜먹는게 아니였는데,,,내가 잘못했네!!!내가 잘못했어!!!!  지난번에 치킨에서 닭피 나와서 기분 나쁘게 먹었어요. 매번 상봉점에서만 주문했는데 이젠 주문 안할렵니다,,,, "
5,음 먹고싶따. 먹어보고 싶따. 근데 돈이 없따.
1,"Bhc 뿌링클 맛은 있는데, 여직원인지, 여사장인지 카운터 보는여자 정말 불친절합니다. 동네 장사 이렇게 하면 안되지~ 그렇게 장사할거면 그만 하세요~ 글 남깁니다. 정말 닭맛 떨어집니다. 내돈주고 사먹는데, 장사 마인드가 영~~~ 갈때마다 그래서"
1,여직원 그리고 배달원 정말 불친절합니다. 그리고 배달원 어린총각이 그렇게 손님 접대할꺼면 그냥 배달만하세요 ㅡㅡ
5,
5,인생치킨집..양배추샐러드랑 너무 잘어울려요ㅠ집앞이라 자주 사먹었는데 또 생각나는 맛..
2,"배달했는데 너무 눅눅해요 주소도 헷갈리시고,, 친절하셔서 2점 드려요"
4,"치킨 맛있어요! 옛날에 먹던 그 맛 ㅠㅠ 뼈 16,000 순살 17,000 (후라이드 / 양념 가격 동일)  배달 포장 매장식사 가격 동일"
5,너무 맛있어요
5,맛있어요!
5,
1,가끔 시켜먹었던 곳인데 어플쓰면 혹시나 피해있을까봐 전화로 시켜먹었습니다. 그런데 분명 순살로 주문했는데 (옆에 친구랑 같이 주문했는데 친구도 순살로 주문한거 들었구요) 막상 오니 일반으로 왔더라구요. 사장님께 어떻게 된 일인지 여쭤보니 제가 일반으로 시켰다고만 하시더라구요. 심지어 비아냥 거리기 까지 하시니 치킨 앞으로 다신 주문할 일 없습니다. 여러분들...
5,이제껏 50번은 넘게 시켜먹은 것 같은데 늘 변함없이 맛있고요 사장님들 친절하세요
5,오랜단골집
1,맛없어
5,제가 먹은 치킨집 중에 이렇게 기름 깨끗한 곳은 첨봤어용 치킨이 노릇노릇해요... 그래서 그런지 닭껍질튀김이 느끼하지 않고 진짜 맛있습니다!!!! 맛있게 먹었는데 평이 안좋아서 속상해서 남깁니다~!!~!
1,
1,
1,집 근처라 포장도 많이하고 배달도 많이 해먹었는데  어제부로 다시는 이용 안할거예요.  튀김옷이 비비큐 스타일 아니고 밀가루옷 두껍고 별로예요.  여긴 비비큐 본사에서 나와서 점검해야돼요 
1,쿠폰 사용 거절
1,맛을떠나 여긴 믿고 거릅니다. 다들보세요.  아니무슨 혼자사시는 아버지가 건설일  끝나고 자식이랑 맥주한잔하자고  밤11시반쯤?  오셔서 늦었지만 혹시 장사하냐고 묻고  괜찮다고해서 드러갔는데   아버지랑 저랑다 저녁을먹어서 혹시 치킨말고  좀가벼운거없냐니 묻자마자 여자알바분말고 옆에서 술먹던 젊은사장남자?  '여기 치킨집이거든요!?'   처음생겼을때부터 ...
5,좋아요 bhc는 요기서만 시켜먹어요
1,"<메뉴판에는 19000원이라고 적혀있었는데 아무런 언급없음, 매장에 벌레... 많음..> 포장이나 배달은 뿌링클 닭다리 19000원 사이다 1.25L 2000원 홀식사는 치킨 20000원 사이다 500ml 2000원 홀에서 먹는게 비싸네요.."
5,직원두 친철하시구 맛도좋구요  최고!
5,
5,배달 포장 모두 만족이었던 길티플레저 맛집!
5,강정.  맛집
2,
5,갓갓
5,후기 쓰려고 로그인함. 여기 진짜 맛있어요 갓 튀겨서 소스에 묻혀 주시는데 바삭바삭 하고 육즙도 쩔어용. 아까 낮에 먹었는데 지금 또 먹고 싶어서 생각난 김에 써요. 가격도 합리적 한컵에 3000원! 근데 중자 먹을걸 그랬어요 지금 이렇게 먹고싶을거 알았으면
5,맛있어요
5,사장님 친절하시고 맛있음
5,닭한마리에 많은걸 주네요♡
5,
5,15년 넘게 단골입니다 여기 바베큐치킨은 정말 맛있고요 특히 생맥주는 이 근방에서는 제일 시원하네요 한결같이 변함없는 가게입니다-!!  저의 추억의 단골집-!
4,여기 먹태는 다른곳보다 바삭함이 최고인듯...골뱅이양념도 내 입맛엔 딱입니다!
1,"진자 얼큰양념숯불바베큐 내가 먹어본 치킨중 제일 맛업음. 양념에 무슨 멸치액젓을 부엇나  액젓맛 너무심하고, 맵기만하고 싱겁다. 치킨에서 노가리같은 마른안주맛나고, 별 하나도 아깝고 왜 손님이 잇는지 이해안됨,  진자,딱하나 서비스만 좋음"
1,
4,"골뱅이 소면과 먹태 구이 추천해요~ 물론 치킨도 평타이상이에요. 친절한 사장님과 편안한 분위기, 맛있는 안주 덕분에 자주 찾을 거 같아요 ㅎㅎ"
4,
5,
1,콧수염난 알바 4가지가ㅋㅋ
5,
5,싸고 맛있음. 가까워서 늘 포장주문하는데 배달료도 안들고 빨리 받을수 있어서 좋음. 후라이드 진짜 잘함
5,포장 방문시 후라이드 한마리가 만원..... 앞으로 이집 단골이 되겠습니다..
5,맛있어요 저희가족은 후라이드만 먹는데 살짝 매콤하고ㅎㅎ 저는 퍽퍽살 좋아하는데 부드라워서 동네치킨 집으로 좋아하는 곳이어요
5,맛있고 청결하네요
