업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,교촌치킨 여의도점,1.5,35,13,서울 영등포구 여의대방로67길 11 잡지정보회관 1층,02-769-1555,매일 12:00 ~ 24:00,https://place.map.kakao.com/8211425
치킨,BBQ 여의도역점,2.7,19,9,서울 영등포구 국제금융로6길 30 백상빌딩 1층,02-761-8292,매일 10:00 ~ 02:00,https://place.map.kakao.com/12159644
치킨,BHC치킨 여의도역점,2.0,7,7,"서울 영등포구 국제금융로2길 37 S-TRENUE 3층 303,304-1호",02-761-3306,매일 12:00 ~ 24:00,https://place.map.kakao.com/1848180500
치킨,어거스트치킨 여의도점,3.9,8,7,서울 영등포구 여의대방로67길 9 두일빌딩 1층 103호,02-783-8292,,https://place.map.kakao.com/1835281403
치킨,BHC치킨 여의도한강공원2호점,2.0,3,1,서울 영등포구 여의동로 330 CU 2층,,,https://place.map.kakao.com/1017688908
치킨,깐부치킨 서여의도점,2.8,6,8,서울 영등포구 국회대로74길 10 굿피플빌딩 2층,02-761-2292,,https://place.map.kakao.com/27501350
치킨,60계 여의도점,4.0,3,3,서울 영등포구 국회대로72길 6 여의도아크로폴리스 101~104호,02-782-8260,영업시간 매일 15:00 ~ 24:00,https://place.map.kakao.com/538118731
치킨,굽네치킨 여의도1호점,3.3,15,2,서울 영등포구 국회대로66길 23 산정빌딩 105호,02-784-9492,매일 12:00 ~ 24:00,https://place.map.kakao.com/27558632
치킨,바른치킨 여의1호점,3.1,9,3,서울 영등포구 63로 45 시범아파트상가 1층,02-784-5969,,https://place.map.kakao.com/27090630
치킨,BHC치킨 여의도한강공원1호점,1.0,1,3,서울 영등포구 여의도동 86-5 CU 2층,02-769-1192,매일 10:00 ~ 23:00,https://place.map.kakao.com/1650287537
치킨,BBQ 여의도점,2.3,7,2,서울 영등포구 국제금융로7길 32 장미상가 103호,02-786-6336,,https://place.map.kakao.com/20809364
치킨,BHC치킨 여의도점,1.0,11,1,"서울 영등포구 63로 45 여의도시범아파트상가2,3,4동 108호",02-782-9282,매일 12:00 ~ 24:00,https://place.map.kakao.com/11794659
치킨,오븐마루치킨 동여의도점,5.0,1,11,서울 영등포구 63로 45,02-785-6000,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/18541203
치킨,자담치킨 서울여의도점,4.0,2,1,서울 영등포구 63로 45 시범상가 4동 101호,02-782-8585,,https://place.map.kakao.com/1818698410
치킨,꿈꾸는닭,4.3,6,5,서울 영등포구 국제금융로8길 34,02-780-4233,,https://place.map.kakao.com/12284460
치킨,더후라이팬 서울동여의도점,2.3,7,7,서울 영등포구 여의나루로 42 여의도종합상가 121호,02-782-0282,영업시간 월~목 15:00 ~ 00:30,https://place.map.kakao.com/18899898
치킨,더맛존닭바베큐,3.5,2,5,서울 영등포구 여의대방로 383 경도빌딩 108호,02-784-9999,영업시간 월~토 16:00 ~ 01:00,https://place.map.kakao.com/10317195
치킨,지코바 여의도1호점,3.3,4,4,서울 영등포구 여의대방로 394 1층 109호,02-785-9984,,https://place.map.kakao.com/329797435
치킨,BBQ 여의도역아일렉스점,0.0,0,0,서울 영등포구 의사당대로 108 지하1층 F01호,02-785-3799,,https://place.map.kakao.com/505448041
치킨,칸느치킨,4.5,4,2,서울 영등포구 의사당대로 38 더샵아일랜드파크 103동 110호,02-2090-7232,영업시간 월~토 14:00 ~ 02:00,https://place.map.kakao.com/14745971
치킨,용달통닭 여의도점,0.0,0,1,서울 영등포구 국제금융로8길 27-9 동북빌딩 105호,02-783-0234,,https://place.map.kakao.com/1377158405
치킨,오치킨,3.7,3,3,서울 영등포구 국회대로66길 23 산정빌딩 1층,02-783-5392,월~토 10:00 ~ 22:30,https://place.map.kakao.com/15973265
치킨,네네치킨 여의도2호점,3.5,13,7,서울 영등포구 국제금융로7길 32 장미아파트상가 2층,0507-964-1080,매일 11:00 ~ 01:00,https://place.map.kakao.com/17770661
치킨,둘둘치킨 여의도공원점,1.5,2,0,서울 영등포구 의사당대로 38 더샵아일랜드파크 1층,02-2090-7222,영업시간 월~금 14:00 ~ 02:00,https://place.map.kakao.com/16070304
치킨,꽁치킨 여의도본점,2.8,5,7,"서울 영등포구 여의대방로 375 아일렉스타워 1,2층",02-780-3374,,https://place.map.kakao.com/1669175669
치킨,보드람치킨 서여의도점,3.0,1,4,서울 영등포구 의사당대로 38 더샵아일랜드파크 102동 105호,02-6085-9298,매일 12:00 ~ 24:00,https://place.map.kakao.com/8372140
치킨,치킨의민족 여의도점,1.0,1,0,서울 영등포구 국제금융로7길 22 B상가 1층 125호,02-782-7795,매일 11:00 ~ 23:00,https://place.map.kakao.com/1557999832
치킨,땅땅치킨 서울동여의도점,1.5,8,0,서울 영등포구 63로 45 시범상가 1층 106호,02-780-2828,매일 11:00 ~ 23:00,https://place.map.kakao.com/596184410
치킨,꼴통치킨 여의도,3.0,1,0,서울 영등포구 의사당대로 38 더샾아일랜드파크 103동 109호,02-2090-7231,,https://place.map.kakao.com/2080073320
치킨,보드람치킨 동여의도점,5.0,1,0,서울 영등포구 국제금융로 86 1층,02-6166-8838,매일 11:00 ~ 01:00,https://place.map.kakao.com/1616082336
치킨,또래오래 여의도점,1.3,4,1,서울 영등포구 여의대방로68길 17 1층,02-783-9222,월~금 12:00 ~ 24:00,https://place.map.kakao.com/26458742
치킨,비트,0.0,0,0,서울 영등포구 국회대로62길 23,02-784-2947,영업시간 매일 14:00 ~ 24:00,https://place.map.kakao.com/10449102
치킨,처가집양념통닭,0.0,0,0,서울 영등포구 국회대로76길 15,02-782-0520,,https://place.map.kakao.com/1963023773
치킨,치킨플러스 여의도점,5.0,1,0,서울 영등포구 여의대방로 379 제일빌딩 1층 101호,02-782-0515,매일 11:00 ~ 24:00,https://place.map.kakao.com/1118256495
치킨,네네치킨 여의도점,1.0,2,1,서울 영등포구 의사당대로 108,02-782-9244,매일 12:00 ~ 24:00,https://place.map.kakao.com/24630802
치킨,둘둘치킨 여의도점,1.5,4,1,서울 영등포구 63로 45 시범아파트 상가7호,02-780-9565,,https://place.map.kakao.com/14951952
치킨,오늘치킨 여의도직영점,5.0,1,0,서울 영등포구 여의대방로65길 12,02-782-4242,,https://place.map.kakao.com/22023426
치킨,참숯바베큐치킨 여의도점,4.5,2,0,서울 영등포구 여의대방로67길 8,02-780-0623,,https://place.map.kakao.com/16557380
치킨,김병만치킨 여의도1호점,0.0,0,0,서울 영등포구 여의도동 86-5 2층,1577-8911,,https://place.map.kakao.com/624315840
치킨,계동치킨 여의도점,0.0,0,0,서울 영등포구 국제금융로7길 3,02-833-6693,,https://place.map.kakao.com/1677301728
치킨,샛강치킨,4.0,2,0,서울 영등포구 여의동로3길 10,02-782-4804,,https://place.map.kakao.com/2026617510
치킨,또봉이통닭 여의도63점,1.0,1,1,서울 영등포구 63로 45 시범아파트 상가 2동 1층 2호,02-782-8585,,https://place.map.kakao.com/1663355926
치킨,칠링캠프 더현대서울점,5.0,1,4,서울 영등포구 여의대로 108 지하1층,,월~목 10:30 ~ 20:00,https://place.map.kakao.com/1004759879
치킨,치맥헌터,1.0,3,0,서울 영등포구 국제금융로 10 IFC몰 지하3층,,,https://place.map.kakao.com/999393458
치킨,치킨게이트 여의도직영점,0.0,0,0,서울 영등포구 여의대방로65길 17 선린빌딩 108호,,,https://place.map.kakao.com/782038697
치킨,치킨머니,0.0,0,0,서울 영등포구 국회대로76가길 11,,,https://place.map.kakao.com/19715939
치킨,웰덤치킨 여의도점,0.0,0,1,서울 영등포구 63로 45,02-780-0503,영업시간 매일 13:00 ~ 24:00,https://place.map.kakao.com/486699811
치킨,까부리치킨,2.0,1,0,서울 영등포구 여의서로 43,,,https://place.map.kakao.com/26421161
치킨,바른치킨 여의도점,0.0,0,0,서울 영등포구 63로 45,02-784-5969,,https://place.map.kakao.com/522434478
치킨,못말리는두마리파닭,0.0,0,0,서울 영등포구 여의대로 128,,,https://place.map.kakao.com/26820890
치킨,꾸꾸루꾸바베큐 여의도1점,0.0,0,0,"서울 영등포구 63로 45 제2,3,4동 제1층 제15호",02-780-9969,,https://place.map.kakao.com/15671608
치킨,미코치킨,1.0,1,1,서울 영등포구 여의동로 290 1층,,,https://place.map.kakao.com/1885386248
치킨,보드람치킨,0.0,0,0,서울 영등포구 의사당대로 1,02-6166-8838,,https://place.map.kakao.com/1318355859
치킨,구어조은닭 여의도점,0.0,0,0,서울 영등포구 63로 45 시범A상가 12호,02-783-0733,,https://place.map.kakao.com/12721130
치킨,블레드 여의도점,0.0,0,0,서울 영등포구 국회대로76길 33,,,https://place.map.kakao.com/2111148709
치킨,BBQ 노량진점,3.9,7,4,서울 동작구 노량진로 110 101가호,02-816-9282,영업시간 매일 14:00 ~ 24:00,https://place.map.kakao.com/18898150
치킨,옛날장터치킨,4.7,3,0,서울 동작구 노량진로 40,02-3280-3467,,https://place.map.kakao.com/21407200
치킨,명가통닭 노량진수산시장점,5.0,1,0,서울 동작구 노들로2길 7,02-3180-8088,,https://place.map.kakao.com/679849560
치킨,맛있는가마솥통닭,4.0,2,1,서울 동작구 노량진로6길 2 1층,,영업시간 화~토 18:00 ~ 02:00,https://place.map.kakao.com/313561842
치킨,이도령치킨호프,4.5,2,0,서울 동작구 등용로14길 50,02-825-1566,,https://place.map.kakao.com/10071845
치킨,이도령 치킨호프,0.0,0,0,서울 동작구 노량진로 40,02-813-2425,,https://place.map.kakao.com/16326209
치킨,치킨마루 동작구청점,4.5,4,5,서울 동작구 노량진로12길 16,02-813-1739,매일 12:00 ~ 00:30,https://place.map.kakao.com/17040801
치킨,부어치킨 대방동점,4.0,2,1,서울 동작구 등용로 116,02-826-9595,영업시간 매일 14:00 ~ 24:00,https://place.map.kakao.com/13607273
치킨,호식이두마리치킨 노량진점,3.0,2,0,서울 동작구 노량진로8길 70,02-821-9922,매일 12:00 ~ 01:00,https://place.map.kakao.com/16712488
치킨,페리카나 대방동점,5.0,8,0,서울 동작구 등용로 112-1,02-826-2282,영업시간 매일 14:30 ~ 01:00,https://place.map.kakao.com/8636683
치킨,청원통닭 노량진점,3.7,11,4,서울 동작구 장승배기로 157 1층,010-2478-5812,,https://place.map.kakao.com/1359468398
치킨,BHC치킨 대방점,2.8,10,0,서울 동작구 등용로 100,02-815-0104,매일 12:00 ~ 24:00,https://place.map.kakao.com/27597889
치킨,치킨마루 대방역점,1.9,9,6,서울 영등포구 여의대방로62길 4 신한빌딩 103호,02-955-0101,영업시간 매일 14:00 ~ 22:00,https://place.map.kakao.com/638431523
치킨,봉구통닭 노량진점,2.5,2,17,서울 동작구 만양로14가길 32 1층,,영업시간 월~금 17:00 ~ 01:00,https://place.map.kakao.com/1485639628
치킨,더맛닭,4.7,6,0,서울 동작구 장승배기로25길 1 1층,02-813-3211,영업시간 월~토 16:00 ~ 01:00,https://place.map.kakao.com/2095484670
치킨,오븐마루치킨 대방점,0.0,0,5,서울 동작구 등용로 86,02-821-8689,,https://place.map.kakao.com/19148603
치킨,또봉이통닭 서울대방점,4.5,2,2,서울 동작구 여의대방로54길 14 1층,02-822-3224,,https://place.map.kakao.com/1238480202
치킨,서울통닭&닭발,3.2,5,7,서울 동작구 만양로 89 1층,,,https://place.map.kakao.com/1194757245
치킨,모던통닭 노량진점,2.5,8,7,서울 동작구 만양로14가길 9 1층,02-6014-7649,영업시간 매일 17:00 ~ 03:00,https://place.map.kakao.com/1854705509
치킨,착한통닭24시,1.5,4,6,서울 영등포구 영등포로 422,02-848-5008,매일 00:00 ~ 24:00,https://place.map.kakao.com/1452596746
치킨,60계 노량진점,1.5,6,7,서울 동작구 만양로14길 24 1층,02-822-5082,영업시간 매일 15:00 ~ 24:00,https://place.map.kakao.com/825599141
치킨,노랑통닭 노량진점,2.8,9,11,서울 동작구 만양로14길 20,02-822-5439,영업시간 매일 17:00 ~ 03:00,https://place.map.kakao.com/1019203510
치킨,자담치킨 노량진2점,0.0,0,0,서울 동작구 노량진로 166 1층,02-804-1421,영업시간 매일 15:00 ~ 23:00,https://place.map.kakao.com/1660837824
치킨,오부장치킨 노량진점,4.4,14,9,서울 동작구 만양로12길 13,02-815-9797,영업시간 매일 14:00 ~ 02:00,https://place.map.kakao.com/26453198
치킨,푸라닭치킨 노량진점,3.7,3,0,서울 동작구 만양로14길 22-1,02-3280-9106,,https://place.map.kakao.com/2133024094
치킨,처갓집양념치킨 대방점,5.0,3,3,서울 동작구 등용로 72,02-817-7979,,https://place.map.kakao.com/18915527
치킨,브라운닭강정&치킨 대방역점,0.0,0,0,서울 영등포구 영등포로 420,,,https://place.map.kakao.com/20057684
치킨,치킨마루 장승배기점,3.7,3,2,서울 동작구 장승배기로 120,02-812-9969,,https://place.map.kakao.com/26908921
치킨,또봉이통닭 서울대방영화초교점,0.0,0,0,서울 동작구 여의대방로36길 107-1,02-825-1315,,https://place.map.kakao.com/411040152
치킨,맛파오통닭 장승배기점,2.0,1,0,서울 동작구 장승배기로20길 39,02-821-9233,,https://place.map.kakao.com/803645423
치킨,처갓집양념치킨 신길점,5.0,1,0,서울 영등포구 여의대방로53길 29,02-832-9227,,https://place.map.kakao.com/16082827
치킨,통닭가 대방점,0.0,0,0,서울 영등포구 영등포로 422 1층,,,https://place.map.kakao.com/202771250
치킨,한방옥돌바베큐,0.0,0,0,서울 동작구 장승배기로 117,,,https://place.map.kakao.com/9568381
치킨,닭한마리삽결살,0.0,0,0,서울 동작구 만양로16길 6,,,https://place.map.kakao.com/467463235
치킨,통닭촌 신길점,4.7,3,2,서울 영등포구 영등포로 382,02-811-1722,,https://place.map.kakao.com/1798081429
