score,review
1,왜 매장에서 기프티콘 쓰는데 천원을 더 내라는거지? 기프티콘 내용에는 그런 어떠한 말도 없던데 왜 받냐고 물어보니 사장님이 받으라고했다? 문의있으면 본사에 연락해보란다ㅎㅎ 홀이용비 라는 명목으로 돈을받던지 해야지 허니갈릭소스로 영수증 찍더라 이게맞냐? 본사에서 관리안하나ㅋ 
1,최악이요. 불친절함이 도를 넘어서 먹다가 체할정도
1,눅눅해요
1,전화받는 싸가지가 모친 출타함
1,최악
3,
1,미친건가? 전화받는 인성이 왜이러지.. 바코드 번호 부르라고 신경질을 내면 누가 앞으로 가고 싶을까?
3,허니콤보 맛있게 먹었어요.
1,전화부터 불친절 치킨은 진짜 눅눅하고 짜고 진짜 먹었던치킨중에 최악 다신안먹을곳
1,완전 불친절ㅡㅡ 남자직원 전화 싸가지없이 받음ㅡㅡ 치킨도 눅눅..ㅡㅡ
5,한강가서 사람없는자리에 돗자리펴고 양이 적지도넘치지도않게 최애 허니콤보 순삭. 맛은 좋은데 평점 왜이러지.
3,
3,다른지점보다 양념이 짜요 ㅜ
1,허니콤보 시켰는데 엄청 눅눅해요.. 먹고나서 너무 느글거려서 힘들었네요
1,마라떡볶이 먹지마라... 과자는 눅눅하고 맥주는 물탄것 같아...
1,여긴 점장없나요 직원들 매너가 없내요
1,미리 튀겨놓은걸로 배달 보내줘서 눅눅함
2,
1,
1,하나도아깝다..종업원불친절..나는허니콤보를시켰는데..닭모가지는머냐..회식이니깐먹지진찐○○○
5,점심시간에 치킨 땡겨서 먹으러 갔는데  엄청 친절하시고 좋네요! 치킨도 따끈 바삭하게 맛있게 만들어주셔서 잘 먹었어용! 전심 시간대에는 조리시간이 좀 걸리니까 미리 전화로 몇 시까지 만들어달라고 하면 좋다고 말씀도 주셨어요
1,불친절은 그렇다 치자. 오리지널이 미친듯이 짬. 진짜 억지로 고문 받으면서 먹는 느낌. 설마 인테리어도 잘 되어 있고 교촌이 실패할까 의심 하나도 없이 매장 들어와서 먹었더니 이딴식으로 뒤통수를 맞을 줄 몰랐다.
1,왕 불친절해요!!
1,너무 불 친절 합니다.  ㅠㅠ  
