업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,꼬꼬아찌숯불치킨 강남역점,3.5,15,54,서울 강남구 테헤란로1길 28-1 2층,02-554-9294,매일 14:00 ~ 24:00,https://place.map.kakao.com/888590919
치킨,호또치킨 강남본점,2.9,9,15,서울 강남구 언주로93길 32-3 2층,02-555-0611,매일 16:00 ~ 04:00,https://place.map.kakao.com/16767854
치킨,교촌치킨 역삼1호점,2.6,25,21,서울 강남구 강남대로66길 16,02-566-9942,화~토 11:00 ~ 05:50,https://place.map.kakao.com/16055409
치킨,만끽치킨 강남1호점,2.0,3,3,서울 강남구 강남대로98길 12,02-567-3336,매일 14:00 ~ 02:00,https://place.map.kakao.com/27226093
치킨,BBQ 역삼스타점,2.2,17,7,서울 강남구 논현로 411 1층,02-567-9282,매일 11:00 ~ 23:30,https://place.map.kakao.com/18900360
치킨,노랑통닭 역삼점,4.3,28,20,서울 강남구 논현로93길 4,02-556-0205,매일 15:00 ~ 02:00,https://place.map.kakao.com/26965840
치킨,깐부치킨 강남역플래티넘점,2.4,11,1,서울 강남구 강남대로78길 14,02-554-1117,월~금 16:00 ~ 02:00,https://place.map.kakao.com/22547607
치킨,치킨공식,4.0,6,7,서울 강남구 역삼로17길 64 역삼동A4스페이스,02-538-9192,매일 16:00 ~ 02:00,https://place.map.kakao.com/753087736
치킨,가마치통닭 역삼점,2.7,7,4,서울 강남구 도곡로 175,02-555-7780,매일 14:00 ~ 23:00,https://place.map.kakao.com/1710611897
치킨,BHC치킨 강남역삼점,3.4,11,3,서울 강남구 역삼로11길 7 1층,02-563-8868,매일 12:00 ~ 24:00,https://place.map.kakao.com/26628389
치킨,더바스켓 강남역점,5.0,1,25,서울 강남구 역삼로3길 8 1층,02-568-7858,매일 11:00 ~ 23:00,https://place.map.kakao.com/1040523671
치킨,청년치킨 역삼점,4.2,13,5,서울 강남구 역삼로 133 1층,02-555-9158,,https://place.map.kakao.com/1710613996
