score,review
1,와....맛은 있었는데..공기밥 추가했는데 벌레나왔어요
5,다시 가게 될 장소. 숫불치킨 정말 맛있음
1,위생최악 ㅋㅋ
1,2명이라니까 테이블 비어있는거 뻔히 보이는데 15분 기다리라 그러고 받기 싫은 티 내네요  그리고 갈때마다 귀아플정도로 시끄러움
3,순살먹는데 닭이 살짝 냄새나요
4,
5,라면사리 존맛
5,
4,맛있어요^^
5,
3,"예상 가능한 숯불양념맛, 술안주로 괜찮아요"
5,마시쪄♡ 기본맛 별로 안매워요 살짝 매콤스 짜고 자극적인데 주먹밥이랑 같이먹으면 딱이에여
5,
1,"하.. 이게 음식인가 쓰레기 인가.. 이런 가게가 진짜 열심히 하는 음식점들을 우습게 많드는것같다.. 음식 맛을 평가하자면. ""음식 같이 생긴거 내놓을께 돈줘""이런 맛."
4,많이 생기는 핫한 프랜차이즈 면이 불어 나와서 속상했음 치킨은 맛있었당 그리고 웨이팅 있음 매우 줄을 섬
1,아르바이트 여성분 배달원에게 하는 태도가 옆에서 봤을때 불편했습니다. 좋은 치킨맛도 어떤 환경과 태도에 따라 맛이 달라집니다. 누가봐도 좋은 경험아니었어요 
5,여기가 그 유명한 배민꾸준러의 단골집입니까
3,칭따오 비쌈 가격 알아보고 드시길 치킨맛... 보다는 기본 치킨 과자가 맛있음 서비스 괜찮음 
3,치킨 맛 평범. 피자가 더 맛있음.
4,
3,후추치킨은 맛있는데 양념치킨 맛이 아쉬웠어요.
4,
2,메뉴는 참신한데 맛과 퀄리티는 물음표???
1,충격적으로 별로네요ㅋㅋㅋ 양 적은 건 둘째치고 포장 상태가; 종이 박스를 이런식으로 해서 어떻게 먹으라는건지???;;; 오리지널+양념  순살반방으로 시켰는데 핵노맛이네요. 튀김 상태가 무슨 오징어튀김도아니고 고기도 없고 튀김옷만 잔뜩입니다.ㅋㅋㅋㅋ 기름좔좔 ... 아니 이래서 장사가 되나요? 와 진짜 반성하시길. 게다가 콜라라고 온 건 맥콜 한캔ㅋㅋㅋㅋㅋ ...
2,고속터미널점 맛있어서 여기도 기대하고 갔는데 스테이크 치킨을 시켰는데 닭갈비같이 나왔어요. 너무 충격적이었지만 이미 시켜서 그냥 먹다 반쯤먹고 나왔네요. 앞으로 스테이크 치킨 시키시는분들은 닭갈비같이 나온다는걸 꼭 알려드리고싶어서 리뷰남겨요.
1,소이베이비크랩치킨: 짜도 너무 짜다
3,해산물튀김이 있다는 것이 특이할 뿐 치킨 자체로는 그닥임.. 평이 다들 좋은게 신기할따름.
2,닭은 진짜 조금 들어있고  튀김옷에  기름 범벅!!  먹고 집에와서  토함.
5,포장할땐 느므 좋던데요 ㅋ  아침까지 포장가능 나이스 개나이스♥♥♥ 라스트오더 05시50분 포장은 꽈베기도  서비스♥
1,쓰레기 매장
1,가게에서 드시지마세요 그냥 시켜드세요 어어오오옴청 불친절합니다  그냥 주문받으러 올때부터 인상 팍 쓰고오네요
1,서비스가 진짜 너무 불친절해요 지리적으로 위치도 좋고 해서 왔는데 직원 부를때마다 표정이 안좋아서 주문을 할 수가 없어요
1,불친절해요 눈치보면서 치킨먹었어요
5, 
2,치킨 시켰는데 40분 후에 나옴.  맛도 없고. 먹어본 중 가장 맛없는 교촌.
2,"무친절, 대충봐도 조리공간 지저분하고 기름은 색깔이 너무 탁하고...  여러 메뉴 테이크아웃 해서 먹었는데, 같이 먹은 분들 맛 평가도 안좋았어요."
5,지금 사왔는데 너무 맛있는데요? 꽈배기도 감동입니다
1,결제 했는데 결제 안됐다고 우김. 실수 인정하지도 않고 책임전가. 사과조차 안함  메뉴 잘못 조리해놓고서 역시 사과한마디 없이 잘못나온거 먹으라고함 ㅎㅎ 비빠서 실수하고 그런건 얼마든지 이해할수있는데 직원들 서비스마인드가 꽝임 .
5,저도 편파적인거같아서 후기남겨요 여기 테이크아웃하면 서비스를 항상 주십니다 저번에는 웨지감자를 걔속주시더니 오늘은 꽈배기에다가 kf94마스크한장 주시네요 원래 서비스 이거 안주는거고 코로나라 힘드실텐데.....인심도좋고 위생이 안좋다는데 저는 사실 안에까지 안봐서 모르겠고 ㅋㅋ여기서 여러번 테이크아웃했는데 배탈난적없고 항상 맛있었습니다 항상 간장만 먹었는데...
5,리뷰가 너무 편파적인듯하여 저도 리뷰 남깁니다. 저는 개인적으로 만족하면서 시켜 먹고 있습니다. 집이 근처라 포장주문 많이 하지만 친구들 놀러오면 매장에서도 많이 먹었어요. 위생은 제가 본 바로는 많이 신경써서 지켜주고 있는것 같습니다. 하지만 제가 주방을 직접 본적은 없으니 어떻게 알겠습니까... 대신 음식 먹고 배탈났던 적은 없어요.   사실 제가 허니...
1,위생관리가 안되는지 배가 아팠어요. 불친절하기까지 하네요
1,
1,리뷰를 진작 보고 갔더라면... ㅜ  아무튼 남자친구랑 저랑 치킨 너무 좋아해서 굳이 교촌 먹으러 배달말고 직접가서 홀에서 먹었는데 전 두 조각 먹고 속이 미식거려 못먹었습니다. 잘 먹던 남자친구는 밤새 토했고요 그 날 먹은 건 이 치킨밖에 없었는데  위생관리가 안되나봅니다ㅜ 절대 여기서 안먹을거에요..... 절대요
1,음식 만드는 주방에서 마스크는 턱에다 음식을 손에 들고 이리저리 다니면서 주섬주섬 먹는 젊은직원은 좀 반성해야 할것 같아요 그리고 제빙기에서 스쿱 사용 안하고 바로 맥주잔에다 얼음을 담는데 그러다 잔 깨지면 얼음과 유리가 손님 뱃속으로  들어가는거 모릅니까?  교촌치킨 사장님  지점마다 다 그런건 아니지만  이곳은 젊은직원 교육 좀 시켜서 깔끔한 역삼점이 ...
3,
5,맛있기만함
1,전화주문했는데 뭐 잘못해서 혼나는줄알았네요 불친절의 끝판왕
4,매장이 분주해서 정신없었지만 잘먹었어요~
4,살살치킨 크리스피하고 맛있어요!
4,세브란스 병원 배달가능한 집이예요. 말해주신 예상시간보다 오래 걸리긴 했는데 맛은 좋아요. 
3,
1,"최악 of 최악 40분 기다려도 안나와서 그냥 나왔습니다. 저희보다 늦게 오신분들은 이미 한잔하고 거의 다 드셨더군요. 20분 지나서 물으니, 나와요~ 30분 지나서 물으니, 양념만 하면 되요~ 40분 되서 물으니, 서비스 드릴게요?? ㅋㅋㅋ "
1,bbq가 이렇ㄱ 맛없을수있나요 다른지점에선 한번도 그런적없눈데 닭껍질 한입 베어물고 진심으로 비린내나서 뱉었어요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ
2,평점 보고 주문하는데 이번엔 못보고 잘못 주문했네요..ㅠㅠ
5,아주 맛있어요!!!
5,아주머니 친절하던데.. 치킨도 초스피드로와서 맛있었음. 굳 
5,나는 이 치킨집 만족하면서 배달 시켜먹음 
1,배달 치킨집인데도 전화받는 매너가 완전히 엉망이시네요.  보통사람들보다도 더 무례합니다.  많이 무례하세요 많이...
5,준비도 빠르고 친절하시고 맛있습니다.   바삭하고  깔끔함 자주 먹는데 좋아요~
1,시켰는데 2시간 넘게 배달 안옴
1,주인분이 성격이 좀 있으시네요.
1,여기 기름 똥기름입니다. 황금올리브??? 절대 아니에여
1,쿠팡 배달 지옥 할베 할메 겁나 느려
5,"밑에 있는 댓글들 다 특정 알바때문인것 같네요 집 근처라 몇번 왔을때 그 알바가 항상 거슬렸는데, 요즘은 사장님인지 이모님인지 정말 친절하시고 맛도 좋아요 오셔서 맛 괜찮은지 더 필요한건 없는지 여쭤봐주시고, 사람들 많았는데 나오는 속도나 서비스 모두 좋았습니다 번창하세요~"
1,"요기요로 주문. 거두절미하고 약 3시간 기다렸습니다. 이벤트 때문에 주문이 몰리는 거 감안해도 너무 걸리죠?  연락도 없으시길래 전화했더니 집 문을 두드리고, 전화를 주셨다는데 부재중 내역도 없고, 현관에 비밀번호 누르고 들어와야해서 문을 두드리지도 못하실텐데 참 의아합니다ㅎㅎ?  이 지점에서만 10번정도 시켜먹었는데 하필이면 7000원 할인 이벤트 하는 ..."
1,Really bad food and service:
1,Rip
1,"콜라, 치킨, 분위기 종합"
1,19년 3월 31일 기준... 정말 별로네요.. 배달이라 그런 건지 이 매장에 문제가 있는건지... 치킨 한마리에 2만원 가까이 받고 팔면서 이렇게 장사하시면 진짜 양심에 안찔리는지 묻고 싶네요.. 양념은 무슨 다 말라 비틀어진 고기도 없는 튀김만 오고.. 치킨무는 색깔이 다 변한 유통기한 며칠 안남은(다 버림...) 본사에서 이리 품질 관리를 안하는지 참...
1,직원들이 불친절 하네요....바쁜건 이해한다만....  
4,
5,JMT
1,주문후 한시간반 뒤 통닭튀긴다며 20분 더 걸린다고 연락주셨네요.  금요일 저녁 가족과의 조촐한 파티느뉴엉망이 되었습니다.. 미리 연락주시는 정도의 서비스 기대는 무리인가요? 주문취소를 해주시던지.. 24천원 한마리 통닭파는게 더 중요하셨나 봅니다. 다 살기 힘든 세상이다보니 이런 경우도 있나보네요..
1,
5,한 입 베어물면 음~~ 하는 감탄이 절로 나오게 만드는 노랑통닭 정말 최고네요!!
5,직원분도 친절하고 노랑통닭은 가성비가 진짜 좋은거 같아요 너무 맛있답니당 ㅋ
5,처렴한 가격에 양많고 맛있는 치킨을 맛볼수 있는곳인거 같습니다 아주 마음에 들어요
5,맥주에는 역시 치킨이 최고죠 노랑치킨 후라이드랑 똥집이랑 같이 먹으면 환상궁합이에요~
5,별 5개 쾅쾅!! 파닭 맛있어욤 ㅠ
