업종,가게이름,평가점수,평가인원,리뷰갯수,주소,전화,영업시간,링크주소
치킨,교촌치킨 은평뉴타운점,1.8,12,8,서울 은평구 진관3로 67 은평뉴타운 914동 상가 103호,02-359-9288,매일 12:00 ~ 24:00,https://place.map.kakao.com/17610212
치킨,노랑통닭 은평뉴타운점,1.0,3,13,서울 은평구 진관3로 33 1층 제B108호,02-359-9292,영업시간 매일 15:00 ~ 02:00,https://place.map.kakao.com/1424701830
치킨,BHC치킨 은평뉴타운점,1.8,6,2,서울 은평구 진관4로 47 1층,02-385-8292,매일 12:00 ~ 24:00,https://place.map.kakao.com/13051045
치킨,김순례닭강정 은평뉴타운점,5.0,1,9,서울 은평구 진관3로 11 힐데스하임 101동 112호,,영업시간 매일 14:00 ~ 00:50,https://place.map.kakao.com/2120864970
치킨,호치킨 은평뉴타운점,3.3,6,13,서울 은평구 진관3로 11 101동 114호,02-356-5726,영업시간 매일 13:00 ~ 01:00,https://place.map.kakao.com/607794109
치킨,BBQ 은평뉴타운구파발점,1.6,7,2,서울 은평구 진관1로 55 은평뉴타운 마고정 동부센트레빌 301동 B104호,02-388-1192,매일 12:00 ~ 24:00,https://place.map.kakao.com/10810680
치킨,BHC치킨 구파발점,2.5,6,0,서울 은평구 진관2로 60 마고정 323동 1층,02-386-0777,매일 12:00 ~ 24:00,https://place.map.kakao.com/136652519
치킨,굽네치킨 은평뉴타운점,1.7,6,1,서울 은평구 진관4로 78-8 은평뉴타운 상림마을 701동 상가 104호,02-388-9492,매일 12:00 ~ 24:00,https://place.map.kakao.com/8195982
치킨,깐부치킨 은평뉴타운점,5.0,3,0,서울 은평구 진관3로 37 에코테라스,02-386-8887,,https://place.map.kakao.com/21686801
치킨,푸라닭치킨 진관점,0.0,0,0,서울 은평구 진관3로 33 1층 122호,02-357-9206,매일 12:00 ~ 24:00,https://place.map.kakao.com/679483976
치킨,60계 서울은평구뉴타운점,2.3,3,0,서울 은평구 진관3로 67 909동 상가 1층 105호,02-356-6082,영업시간 매일 14:00 ~ 24:00,https://place.map.kakao.com/1506033217
치킨,치르치르 은평뉴타운점,5.0,1,13,서울 은평구 진관1로 21-39 메이플카운티 107호,02-383-7171,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/23988322
치킨,옛날통닭,0.0,0,0,서울 은평구 진관동 231-12,02-354-7773,,https://place.map.kakao.com/901938519
치킨,치킨플러스 은평뉴타운점,4.5,2,5,서울 은평구 진관동 49-25 상가 1층 101호,02-358-9255,영업시간 매일 15:00 ~ 00:00,https://place.map.kakao.com/772798204
치킨,훌랄라참숯불치킨 은평진관동점,5.0,2,3,서울 은평구 진관2로 15-46,02-388-1488,영업시간 매일 15:00 ~ 01:00,https://place.map.kakao.com/1880441900
치킨,참참치킨&호프,5.0,1,1,서울 은평구 진관4로 47 708동 114호,02-355-6500,영업시간 매일 14:00 ~ 01:00,https://place.map.kakao.com/2008670336
치킨,처갓집양념치킨 은평뉴타운점,3.0,2,1,서울 은평구 진관3로 67 909동 1층 상가108호,02-383-8292,,https://place.map.kakao.com/1966585331
치킨,오늘통닭 은평뉴타운점,0.0,0,2,서울 은평구 진관2로 29-21 드림스퀘어 106호,02-353-7799,영업시간 월~금 16:00 ~ 01:00,https://place.map.kakao.com/25068603
치킨,둘둘치킨 구파발역점,4.0,3,5,서울 은평구 진관2로 15-8 112호,02-357-2279,"영업시간 월,수 15:00 ~ 24:00",https://place.map.kakao.com/100005914
치킨,바른치킨 은평뉴타운점,0.0,0,0,서울 은평구 진관2로 111-7 214동 지하1층 상가B113호,02-358-9233,"월,수,목,금,토,일 12:00 ~ 23:00",https://place.map.kakao.com/2078949553
치킨,옛날통닭,0.0,0,2,서울 은평구 진관2로 19,,,https://place.map.kakao.com/634132035
치킨,찰스치킨 구파발역점,0.0,0,4,서울 은평구 진관3로 33 한화꿈에그린상가동 1층 105호,02-357-8600,,https://place.map.kakao.com/1837721106
치킨,부어치킨 은평진관점,5.0,1,0,서울 은평구 진관2로 111-7 상가 지하1층 B102호,02-352-7988,매일 11:00 ~ 23:50,https://place.map.kakao.com/1983850218
치킨,자담치킨,0.0,0,0,서울 은평구 진관2로 15-8,02-356-9967,,https://place.map.kakao.com/1256931112
치킨,텍사스치킨 은평뉴타운점,0.0,0,0,서울 은평구 진관2로 111-7 은평뉴타운우물골 209동 상가 지하1층 B102호,02-352-7988,매일 11:00 ~ 24:00,https://place.map.kakao.com/111599914
치킨,돌가마강정 진관점,0.0,0,0,서울 은평구 진관3로 70,02-9953-7694,,https://place.map.kakao.com/19622135
치킨,윙윙치킨닭강정,0.0,0,0,서울 은평구 진관3로 77,02-387-9898,,https://place.map.kakao.com/21327938
치킨,BBQ 은평갈현로점,5.0,1,0,서울 은평구 갈현로 309-2 1층,02-356-9225,"월,화,수,목,일 12:00 ~ 24:00",https://place.map.kakao.com/385523077
치킨,1988 옛날통닭,0.0,0,0,서울 은평구 연서로41길 9-1,,,https://place.map.kakao.com/1216534095
치킨,가마치통닭 갈현점,4.9,8,3,서울 은평구 통일로87길 7-1,02-356-9335,,https://place.map.kakao.com/6027353
치킨,화닭화닭,5.0,1,1,서울 은평구 통일로87길 6-7,02-383-2959,,https://place.map.kakao.com/16958837
치킨,젤라치킨&호프,5.0,1,0,서울 은평구 통일로 928,02-354-4330,,https://place.map.kakao.com/9440466
치킨,엄지치킨,0.0,0,0,서울 은평구 연서로41길 4,02-386-9285,,https://place.map.kakao.com/1096412693
치킨,재영치킨,5.0,2,0,서울 은평구 통일로87길 19-1,02-389-4274,,https://place.map.kakao.com/1146488892
치킨,꾸꾸루꾸 바베큐 연신내점,0.0,0,0,서울 은평구 연서로 331-1 1층,02-357-7166,,https://place.map.kakao.com/27171339
치킨,부어치킨 갈현점,3.6,5,0,서울 은평구 통일로87길 21,02-386-8292,영업시간 매일 14:00 ~ 24:00,https://place.map.kakao.com/13607183
치킨,치킨나라,0.0,0,0,서울 은평구 갈현로41길 22,02-352-5839,,https://place.map.kakao.com/16587449
치킨,굽네치킨 연신내점,4.3,4,3,서울 은평구 통일로 877 1층,02-353-9253,,https://place.map.kakao.com/1904247553
치킨,찌니네마약통닭 연신내점,0.0,0,1,서울 은평구 갈현로36길 20,02-356-8256,,https://place.map.kakao.com/731390049
치킨,교촌치킨 연신내점,1.5,13,5,서울 은평구 통일로 866-1,02-382-1990,매일 12:00 ~ 24:00,https://place.map.kakao.com/25583953
치킨,아웃닭 연신내점,4.2,9,31,서울 은평구 연서로29길 20-7 1층,02-6338-4469,영업시간 월~금 16:00 ~ 01:00,https://place.map.kakao.com/838438667
치킨,BHC치킨 불광점,2.6,5,1,서울 은평구 연서로34길 19,02-356-8553,매일 12:00 ~ 24:00,https://place.map.kakao.com/1031408645
치킨,알품은옛날통닭,4.8,5,12,서울 은평구 연서로29길 22-44,02-388-8624,영업시간 매일 13:00 ~ 24:00,https://place.map.kakao.com/2001310274
치킨,달가득치킨,3.4,18,37,서울 은평구 연서로28길 10 1층,02-6101-9390,"영업시간 월,수,목,금,토,일 14:30 ~ 01:30",https://place.map.kakao.com/1477357176
치킨,또봉이통닭 서울불광점,0.0,0,0,서울 은평구 연서로34길 6,02-3157-8886,,https://place.map.kakao.com/1346212220
치킨,마마치킨 연신내점,3.2,5,20,서울 은평구 연서로29길 22-13 1~3층,02-365-7468,영업시간 매일 16:00 ~ 02:00,https://place.map.kakao.com/1284046149
치킨,강남치킨,5.0,1,1,서울 은평구 연서로34길 2-1,02-388-9292,,https://place.map.kakao.com/27281263
치킨,본스치킨 불광북한산점,5.0,2,5,서울 은평구 연서로34길 42,02-355-9282,영업시간 매일 15:00 ~ 24:00,https://place.map.kakao.com/24183373
치킨,BBQ 연신내점,1.0,17,2,서울 은평구 갈현로 246 1층,02-389-9220,영업시간 매일 15:00 ~ 24:00,https://place.map.kakao.com/10828679
치킨,후라이드참잘하는집 연신내점,3.4,5,5,서울 은평구 갈현로 254,02-358-9291,매일 11:00 ~ 03:00,https://place.map.kakao.com/2040323688
치킨,한국통닭 연신내점,5.0,2,3,서울 은평구 연서로 252,,,https://place.map.kakao.com/797847454
치킨,노랑통닭 연신내점,2.5,11,1,서울 은평구 연서로29길 10-2,02-357-9990,영업시간 매일 17:00 ~ 05:00,https://place.map.kakao.com/24167275
치킨,네네치킨 갈현1점,0.0,0,1,서울 은평구 연서로29길 30-5 1층,02-354-4492,매일 11:00 ~ 01:00,https://place.map.kakao.com/8229589
치킨,60계 서울연신내점,2.6,7,8,서울 은평구 연서로27길 16-16 1층,02-383-6660,,https://place.map.kakao.com/404572782
치킨,통닭원 갈현점,3.0,1,0,서울 은평구 갈현로 261 1층 5호,02-356-6901,,https://place.map.kakao.com/219943063
치킨,컬투치킨 연신내점,0.0,0,2,서울 은평구 연서로29길 7-12,02-388-0080,영업시간 매일 14:00 ~ 02:00,https://place.map.kakao.com/728583690
치킨,꾸브라꼬 숯불두마리치킨,5.0,3,2,서울 은평구 갈현로29길 6,02-357-1118,,https://place.map.kakao.com/1573740186
치킨,엔칙스치킨 연신내점,5.0,2,6,서울 은평구 연서로27길 20-14 1층,02-3157-3379,영업시간 매일 16:00 ~ 01:00,https://place.map.kakao.com/333479650
치킨,또바기치킨 갈현점,0.0,0,0,서울 은평구 갈현로33길 16,,,https://place.map.kakao.com/488481428
치킨,푸라닭치킨 갈현점,2.3,3,1,서울 은평구 갈현로 209,02-356-9207,,https://place.map.kakao.com/223338774
치킨,보드람치킨 연신내점,2.5,2,0,서울 은평구 연서로29길 8-3 1층,02-386-3811,,https://place.map.kakao.com/11062679
치킨,보거스치킨,0.0,0,0,서울 은평구 통일로83길 23,,,https://place.map.kakao.com/13094214
치킨,멕시칸치킨 불광제일점,0.0,0,0,서울 은평구 통일로 854 지층,02-385-0040,,https://place.map.kakao.com/7876690
치킨,처갓집양념치킨 갈현점,2.0,4,3,서울 은평구 갈현로 236,02-384-7171,,https://place.map.kakao.com/1520846674
치킨,핫불닭숯불바베큐,0.0,0,1,서울 은평구 갈현로 216 1층,02-356-6692,,https://place.map.kakao.com/27590677
치킨,시장의맛옛날통닭,0.0,0,0,서울 은평구 연서로29길 32,,,https://place.map.kakao.com/342078328
치킨,네네치킨 대조점,0.0,0,17,서울 은평구 통일로73길 28-1 1층,02-382-1492,매일 12:00 ~ 24:00,https://place.map.kakao.com/8229544
치킨,BBQ 은평대조점,2.0,7,2,서울 은평구 연서로20길 15,02-385-9200,,https://place.map.kakao.com/627732683
치킨,굽네치킨 불광1동점,4.0,1,1,서울 은평구 불광로 114,02-382-9492,매일 12:00 ~ 24:00,https://place.map.kakao.com/8199591
치킨,치킨플러스 불광점,5.0,2,5,서울 은평구 통일로78길 13,02-6338-0102,매일 11:00 ~ 24:00,https://place.map.kakao.com/2063423393
치킨,닭이랑 추어랑,0.0,0,0,서울 은평구 연서로 247,02-6448-6859,,https://place.map.kakao.com/180717859
치킨,교촌치킨 구산역점,2.7,20,5,서울 은평구 연서로 157,02-352-9949,매일 12:00 ~ 24:00,https://place.map.kakao.com/21656065
치킨,페리카나 대조동점,3.0,4,0,서울 은평구 역말로9길 40-1 1층,02-355-6360,매일 10:00 ~ 02:00,https://place.map.kakao.com/1021978992
치킨,푸라닭치킨 불광점,0.0,0,10,서울 은평구 불광로 90 대호프라자아파트 124호,02-356-9206,매일 11:00 ~ 01:00,https://place.map.kakao.com/1979200868
치킨,BHC치킨 갈현점,5.0,3,3,서울 은평구 서오릉로 232,02-388-2353,매일 12:00 ~ 24:00,https://place.map.kakao.com/1400740999
치킨,두레통닭 독바위점,4.4,8,0,서울 은평구 불광로13길 1 1층,02-382-4938,,https://place.map.kakao.com/889449395
치킨,굽모닝 닭오리숯불바베큐,0.0,0,4,서울 은평구 연서로17길 45-1,02-3417-9292,,https://place.map.kakao.com/18567450
치킨,BBQ 불광1동점,1.0,5,1,서울 은평구 불광로 104-1,02-353-9393,매일 11:00 ~ 24:00,https://place.map.kakao.com/18901084
치킨,꾸브라고 숯불두마리치킨,0.0,0,0,서울 은평구 갈현로29길 6,02-357-1118,,https://place.map.kakao.com/1548464130
치킨,구어조은닭 연신내점,0.0,0,0,서울 은평구 통일로72길 30-63,02-385-8211,,https://place.map.kakao.com/8208408
치킨,더맛있는치킨,0.0,0,0,서울 은평구 연서로29길 13,,,https://place.map.kakao.com/986339616
치킨,대왕통닭 불광점,0.0,0,0,서울 은평구 통일로 796 북한산힐스테이트7차 상가동 1층,02-384-0125,,https://place.map.kakao.com/1860394425
치킨,둘둘치킨 구산역점,0.0,0,1,서울 은평구 서오릉로 187,02-386-2265,,https://place.map.kakao.com/11088759
치킨,바른치킨 구산점,5.0,2,1,서울 은평구 연서로17길 9,02-356-5871,,https://place.map.kakao.com/913958154
치킨,요기,4.2,5,1,서울 은평구 불광로 99-1,02-355-5443,,https://place.map.kakao.com/15516054
치킨,또래오래 은평불광1점,1.0,1,0,서울 은평구 불광로 112,02-357-0924,매일 12:00 ~ 23:30,https://place.map.kakao.com/16555669
치킨,BHC치킨 불광초교점,4.1,9,0,서울 은평구 통일로68길 15,02-353-9290,매일 12:00 ~ 24:00,https://place.map.kakao.com/27508686
치킨,가마치통닭 구산점,5.0,1,1,서울 은평구 서오릉로 216,02-355-9119,,https://place.map.kakao.com/267573314
치킨,서오릉치킨,5.0,3,0,서울 은평구 서오릉로 218 1층,02-388-3102,영업시간 화~일 14:00 ~ 24:00,https://place.map.kakao.com/1322736518
치킨,바른치킨 불광롯데캐슬점,4.7,3,3,서울 은평구 불광로 64 불광롯데캐슬상가 106호,02-352-8284,,https://place.map.kakao.com/797381353
치킨,나라라파닭치킨 갈현동점,0.0,0,0,서울 은평구 연서로 221,,,https://place.map.kakao.com/14512112
치킨,굽네치킨 대조점,1.0,3,0,서울 은평구 역말로 145 1층,02-387-9482,매일 12:00 ~ 24:00,https://place.map.kakao.com/12591815
치킨,교촌치킨 불광1동점,2.7,6,4,서울 은평구 불광로 60 라비앙프라자1층 101호,02-354-8592,매일 12:00 ~ 24:00,https://place.map.kakao.com/8662096
치킨,참존숯불바베큐치킨 구산점,3.6,5,0,서울 은평구 서오릉로 225,,,https://place.map.kakao.com/630430652
치킨,통닭하우스,4.0,3,0,서울 은평구 연서로17길 42-1 101호,02-2135-5045,매일 11:00 ~ 02:00,https://place.map.kakao.com/1770400215
치킨,또래오래 은평대조점,3.0,3,0,서울 은평구 역말로 143 1층,02-388-5592,매일 12:00 ~ 01:00,https://place.map.kakao.com/10366156
치킨,수원왕갈비통닭,0.0,0,0,서울 은평구 불광로 122-10,02-695-3999,,https://place.map.kakao.com/706630746
치킨,참맛있는치킨 은평점,0.0,0,0,서울 은평구 통일로73길 27,,,https://place.map.kakao.com/483879332
치킨,켄터기마늘닭,0.0,0,0,서울 은평구 불광동 641 북한산현대힐스테이트3차아파트 상가동 3층 111호,,,https://place.map.kakao.com/1662834153
치킨,1988옛날통닭 삼송점,5.0,4,7,경기 고양시 덕양구 동송로 33 이편한세상시티삼송상가동 1층 1-010호,02-381-3213,,https://place.map.kakao.com/523169149
치킨,갈현치킨,0.0,0,0,서울 은평구 갈현로 181,02-387-9395,,https://place.map.kakao.com/16045437
치킨,BBQ 이편한삼송점,3.0,2,0,경기 고양시 덕양구 동송로 33,02-381-9285,,https://place.map.kakao.com/648505279
치킨,노랑통닭 삼송점,4.1,8,6,"경기 고양시 덕양구 동송로 33 e편한세상시티삼송1차 1층 82, 83호",02-381-1253,영업시간 월~금 15:00 ~ 24:00,https://place.map.kakao.com/534224972
