score,review
1,쿠팡픽업갔는데다른사람이바꿔갔다고해서 콜센타전화기껏하니그제서야 전표보여주면서이거맞냐고하더니 한참있다나옴 장난합니까??
1,"매장 방문포장했는데 직원분들이 뭐때문에 왔는지 물어보지도 않고,그냥 멀뚱멀뚱,,,, 무엇보다 치킨 기름 엄청 재탕하나봄 ㅠ  기름냄새 오지고 아아아앙아아아아악 개빡쵸오오옹오오오오오옹오 허니콤보 좋아하는데 아오 진짜 집근처라 여기밖에 없는데 너무 화남,,,ㅂㄷㅂㄷ 제발 ㅠㅜㅜㅜㅜ좋은기름쓰고 그 값어치하는 치킨 파세요 ㅠㅠㅠㅜㅜㅜㅜㅜ진짜 교촌 본사 뭐해 ㅠㅠ"
1,"치킨을 대체 어떻게 튀겼길래 무슨 노란색 지방 덩어리인지 튀김 가루가 뭉친 건지 덜 익은 건지 뭔지 모를게 튀김 옷 안에 저렇게 있네요, 한 두개면 그냥 그러려니 하고 넘어 가겠는데 죄다 이 모양이라서 뭘 먹을 수가 있어야지;; 맛도 치킨에서 무슨 생선 비린내가 나는데, 대체 어떻게 한 건가요?, 맛도 더럽게 없어서 내가 돈 주고 사 먹은 건데 누가 보면 ..."
2,전화로 주문을 외국분이 받으시는데 한국말을 못하면 어쩌자는거죠? 계속 말해도 주소 못알아들으시더니 결국 배달원아저씨 다른 지역까지 갔다 오셨네요. 주문한지 1시간 30분 돼서야 받았습니다.
1,"이렇게 맛없는 교촌 처음입니다. 너무 퍽퍽해서 먹는 내내 기분이 상했네요. 동네 7,900원짜리 옛날통닭 같은 퍽퍽함이에요. 프랜차이즈가 이렇게 닭 상태랑 튀김 상태가 들쑥 날쑥하면 어떡합니까."
1,다른 교촌치킨하고 너무 비교된다. 느끼하고 눅눅하고 맛이 없다. 돈 아깝다. 믿고 거른다. 
5,"여기 여사장님 엄청 친절하시던데 평들이 왜이렇죠? 장모님댁 들리면 가끔씩 시켜먹던곳인데,  나중에 다시 한번 가보고 리뷰 남기겠음요."
1,이렇게 맛없는 교촌치킨은 처음이네요. 앞으로는 연신내점에서 시킵니다
1,0점은 안되나요. 불친절하고 치킨은 뻣뻣하고 양념은 마늘맛만 납니다.
1,최악 정말 불친절의 끝판왕
1,주문하려고 전화하니  직원이 좀만 기다리세여 하더니 뚝 끊어버림ㅋㅋ 전화 주겠다는건가 싶어 기다리다가 안오길래 전화 또 했는데 연결 안되서 여긴 걍 포기
5,
1,"별 하나도 아까운 집입니다. 지금까지 먹어본 치킨 중에 최악이었으니까요 ㅜㅜ. 기름 관리 전혀 신경 안쓰는 곳이더군요. 얼마전 순살 3종세트 배달로 받아서 첨으로 먹어 봤을때두 오래된 기름에 완전 쩔어서 와 기분 나빴었는데 노랑통닭 티비 광고마다 그럴싸해 보여 안먹어본 남편이 혹시나 하는 맘에 전화로 기름 깨끗한 거로 부탁한다고,, 지난번 처럼 보내주지 않..."
1,한동안 여기만 시켜먹었습니다. 배달도 시키도 찾아가기도 하고... 쿠폰이 좀 쌓여서 12개 쿠폰을 쓴다고 하면서 치킨만 시키면 좀 그래서 사이드 추가해서 시켰습니다. 통닭이 1시간 40분만에 오내요. 그냥 결재하면 30~40분이내 오던 치킨이... 시킨지 한시간대 하도안와서 전화했더니 몇동몇호나 만들고 있다 곧간다..   제가 말할 시간을 안주시네요. 도착...
1,
1,할많하않…
1,전화 응대 시 말투 교정할 것.
1,양념치킨은 양념 범벅에 눅눅하고 후라이드는 과하게 퍽퍽해서 거의다 남겼어요
1,음식조리 ♪♪♩느려요
5,"맛, 양, 서비스 항상 최고에요!"
2,"맛은 그냥 쏘쏘.. 전화받는 직원도, 배달온 직원도 불친절"
5,맛있고 양도 많습니다. 사장님도 친절하시고 :)
4,너무 맛있어요 ㅎㅎ
1,갈수록 닭이 작아집니다 튀김옷만 먹는기분
4,양념이 마싯음
2,어제 치슐랭시켜서 먹었는데 갓튀긴거 바로 먹었는데도 치킨옷이 너무 눅눅했어요. 평소에 자주 시켜서 맛있게 먹었는데 너무 아쉬웠어요.
5,처음 먹어보는데 직원이 너무너무 친절하시고 맛도 너무 좋아요:) 저는 결정장애라 메뉴 고민 많이 하고 있었는데 직원분이 옆에서 하나하나 친절히 알려주셔서 감사했습니다:) 다음에 또 올게요
4,배달전화 걸었는데 친절하게 받아주시고 맛도 있었고 콜라도 500ml 기본으로 하나 주셔서 좋았어요. 근데 11시 이후에 주문하려고 하니 오븐구이 치킨이랑 순살은 주문이 안 된다고 하더라구요. 글고 조각 자체가 너무 커서 조금 먹기 어려웠습니다. 
1,치킨 뼈도 부서지고 신기합니다 체인점 관리가 안되는것 같아요
1,눅눅함. 세상 눅눅함!!! 치킨 튀김옷이 이렇게 축축할 수가 없음!!! 어우
1,먹어본 비비큐 체인중에 제일 최악이네요 맛이 너무 없어요
